cif_filename,formula,space_group,n_atoms,n_Co,n_Bi,min_CoCo,min_BiBi,min_CoBi,volume,volume_per_atom,packing_fraction
Co1_Bi1_m1_n1_z1_sg001_trial000_775b80aa54.cif,Co1Bi1,1,2,1,1,4.388931,4.388931,2.790000,73.004127,36.502064,0.321623
Co1_Bi1_m1_n1_z1_sg002_trial000_5f8f0cb849.cif,Co1Bi1,2,2,1,1,3.698912,3.698912,2.790000,94.757503,47.378752,0.247788
Co1_Bi1_m1_n1_z1_sg010_trial000_d50ee1af68.cif,Co1Bi1,10,2,1,1,2.790000,2.790000,3.156724,62.378083,31.189041,0.376411
Co1_Bi1_m1_n1_z1_sg016_trial000_faad3bf305.cif,Co1Bi1,16,2,1,1,3.297164,3.297164,2.790000,61.278521,30.639261,0.383165
Co1_Bi1_m1_n1_z1_sg025_trial000_7356e074c1.cif,Co1Bi1,25,2,1,1,3.277426,3.277426,2.790000,43.450185,21.725093,0.540384
Co1_Bi1_m1_n1_z1_sg006_trial000_66abf100ac.cif,Co1Bi1,6,2,1,1,2.790000,2.790000,3.002765,87.492215,43.746107,0.268364
Co1_Bi1_m1_n1_z1_sg047_trial000_de7c5c152b.cif,Co1Bi1,47,2,1,1,2.790000,2.790000,2.915613,46.773277,23.386638,0.501992
Co1_Bi1_m1_n1_z1_sg081_trial000_a2c40c49d5.cif,Co1Bi1,81,2,1,1,2.790000,2.790000,3.323253,50.76675,25.383375,0.462503
Co1_Bi1_m1_n1_z1_sg089_trial000_a284c1fdeb.cif,Co1Bi1,89,2,1,1,2.790000,2.790000,3.395938,53.491947,26.745974,0.438941
Co1_Bi1_m1_n1_z1_sg099_trial000_7d5c8bcbd4.cif,Co1Bi1,99,2,1,1,2.939387,2.939387,2.790000,44.500093,22.250047,0.527635
Co1_Bi1_m1_n1_z1_sg115_trial000_6bf6469718.cif,Co1Bi1,115,2,1,1,2.790000,2.790000,4.750320,115.056914,57.528457,0.204071
Co1_Bi1_m1_n1_z1_sg123_trial000_5d90b7bc68.cif,Co1Bi1,123,2,1,1,2.790000,2.790000,3.443571,66.168636,33.084318,0.354848
Co1_Bi1_m1_n1_z1_sg157_trial000_2fd28dee04.cif,Co1Bi1,157,2,1,1,3.216473,3.216473,2.790000,70.392014,35.196007,0.333558
Co1_Bi1_m1_n1_z1_sg156_trial000_e36aa19c0c.cif,Co1Bi1,156,2,1,1,4.039935,4.039935,2.790000,64.949663,32.474832,0.361508
Co1_Bi1_m1_n1_z1_sg174_trial000_910940e48d.cif,Co1Bi1,174,2,1,1,3.528441,3.528441,2.790000,60.163154,30.081577,0.390269
Co1_Bi1_m1_n1_z1_sg195_trial000_ceb6affe99.cif,Co1Bi1,195,2,1,1,3.221615,3.221615,2.790000,33.436493,16.718246,0.702221
