idx,formula,n_atoms,e_total_eV,e_per_atom_eV,enthalpy_eV,enthalpy_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull
0,CoBi2,12,-47.9273567199707,-3.993946393330892,16.974891482371447,1.4145742901976206,0.019259653985500336,207.96972941430286,converged,0.3333333333333333,-0.40659781210376583,0.2284913584725216,False
1,CoBi2,12,-48.35588073730469,-4.029656728108724,15.759430207796612,1.3132858506497176,0.015709109604358673,205.44810446312732,converged,0.3333333333333333,-0.5078862516516688,0.12720291892461866,False
2,CoBi2,12,-49.323341369628906,-4.110278447469075,14.232995180701188,1.186082931725099,0.02316177822649479,203.6569530492708,max_steps,0.3333333333333333,-0.6350891705762874,0.0,True
3,Co2Bi,18,-94.95228576660156,-5.2751269870334205,-21.179028481119545,-1.1766126933955303,0.020233003422617912,236.39557612612512,max_steps,0.6666666666666666,-0.08425347888202575,0.2968030548517673,False
4,Co7Bi13,20,-80.88457489013672,-4.044228744506836,24.1269031810789,1.2063451590539451,0.01895241066813469,336.4938701627071,converged,0.35,-0.46915037740669696,0.1595883561720307,False
5,CoBi,8,-36.91704177856445,-4.614630222320557,-0.5919477385394458,-0.07399346731743073,0.014220310375094414,116.39843283857898,converged,0.5,-0.4383999112113717,0.13318488938931772,False
6,Co2Bi3,10,-43.0758056640625,-4.30758056640625,8.067103793984039,0.8067103793984038,0.022108251228928566,163.87994770674672,max_steps,0.4,-0.4317554595400043,0.17793196304604392,False
7,CoBi,8,-38.11135482788086,-4.763919353485107,-0.9002723690932513,-0.11253404613665641,0.02146354876458645,119.23745270026097,max_steps,0.5,-0.47694049003059735,0.09464431057009204,False
8,Co5Bi4,18,-88.5076904296875,-4.917093912760417,-9.844273717580748,-0.5469040954211527,0.022009890526533127,252.06537433677087,max_steps,0.5555555555555556,-0.4257219865126116,0.08235339179911227,False
9,Co2Bi3,5,-21.276737213134766,-4.255347442626953,4.47905126249433,0.895810252498866,0.04660956934094429,82.53064429184602,max_steps,0.4,-0.34265558643954214,0.2670318361465061,False
10,CoBi,4,-19.052858352661133,-4.763214588165283,-0.4501482327061943,-0.11253705817654858,0.015585314482450485,59.60965447542273,converged,0.5,-0.4769435020704895,0.09464129853019987,False
11,Co7Bi11,18,-75.58525848388672,-4.199181026882595,15.578646827805514,0.8654803793225285,0.019231561571359634,292.1213555024365,converged,0.3888888888888889,-0.47010317017637604,0.14381787707471205,False
12,CoBi,4,-17.873037338256836,-4.468259334564209,1.4565431344987587,0.3641357836246897,0.013942894525825977,61.93880384664245,converged,0.5,-0.00027066026925126607,0.5713141403314381,False
13,CoBi2,12,-48.72057342529297,-4.060047785441081,14.590951793449285,1.215912649454107,0.015319235622882843,202.8724910653169,converged,0.3333333333333333,-0.6052594528472793,0.02982971772900811,False
14,Co3Bi2,10,-50.191139221191406,-5.019113922119141,-6.987252664342364,-0.6987252664342364,0.021234389394521713,138.4405139381579,max_steps,0.6,-0.18907231528371007,0.2681955251968414,False
15,Co2Bi3,10,-43.086395263671875,-4.3086395263671875,8.06687989171214,0.8066879891712141,0.019710347056388855,163.91316306261152,converged,0.4,-0.43177784976719413,0.1779095728188541,False
16,CoBi,4,-19.044750213623047,-4.761187553405762,-0.45012662600207065,-0.11253165650051766,0.020595531910657883,59.5837423693251,max_steps,0.5,-0.4769381003944586,0.09464670020623078,False
17,CoBi,8,-37.56145477294922,-4.695181846618652,-1.6574268536539876,-0.20717835670674845,0.008966281078755856,115.04918824969057,converged,0.5,-0.5715848006006894,0.0,True
18,Co5Bi4,18,-87.08798217773438,-4.8382212320963545,-7.4376925607132165,-0.41320514226184535,0.02109089493751526,255.22766372868057,max_steps,0.5555555555555556,-0.29202303335330426,0.21605234495841963,False
19,Co8Bi11,19,-81.58435821533203,-4.293913590280633,12.44226454447923,0.6548560286568016,0.0194061491638422,301.29451343710156,converged,0.42105263157894735,-0.3995973060617187,0.20206851189583286,False
20,CoBi3,16,-59.015342712402344,-3.6884589195251465,37.52629075602121,2.3453931722513257,0.013437404297292233,309.3534961539021,converged,0.25,-0.20416175925378344,0.4113547787151255,False
21,CoBi2,12,-48.723838806152344,-4.060319900512695,14.590926882930312,1.215910573577526,0.02082226052880287,202.88287467695648,max_steps,0.3333333333333333,-0.6052615287238604,0.029827641852427034,False
22,CoBi2,12,-47.79109191894531,-3.982590993245443,15.969249799359503,1.3307708166132919,0.017638402059674263,204.31065767057376,converged,0.3333333333333333,-0.49040128568809455,0.1446878848881929,False
23,Co11Bi7,18,-90.41707611083984,-5.023170895046658,-14.84836896186647,-0.8249093867703594,0.017771270126104355,242.14883171633394,converged,0.6111111111111112,-0.21813872505933674,0.22642723096342166,False
24,CoBi3,8,-29.936073303222656,-3.742009162902832,15.472307148289602,1.9340383935362002,0.02031472697854042,145.50449109560938,max_steps,0.25,-0.6155165379689089,0.0,True
25,Co4Bi7,11,-45.077327728271484,-4.097938884388316,11.903563489180506,1.082142135380046,0.016343137249350548,182.58690348189927,converged,0.36363636363636365,-0.474163483574532,0.14937943791528308,False
26,CoBi2,12,-48.11893081665039,-4.009910901387532,16.459756461249924,1.371646371770827,0.12786075472831726,206.93292591721254,max_steps,0.3333333333333333,-0.4495257305305594,0.18556344004572806,False
27,CoBi2,6,-24.437986373901367,-4.0729977289835615,7.698405066482799,1.2830675110804666,0.0059403320774436,102.9763500853215,converged,0.3333333333333333,-0.5381045912209199,0.09698457935536753,False
