idx,formula,n_atoms,e_total_eV,e_per_atom_eV,enthalpy_eV,enthalpy_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio,crystal_system
0,CoBi2,12,-57.396827697753906,-4.783068974812825,-57.396827697753906,-4.783068974812825,0.0084225079044699,295.7504609782519,converged,0.3333333333333333,0.0613379478454589,0.0741807089911566,False,,,,,,,,,Cubic
1,CoBi2,12,-57.40715789794922,-4.783929824829102,-57.40715789794922,-4.783929824829102,0.0189711432904005,291.7970332525006,converged,0.3333333333333333,0.0604770978291829,0.0733198589748806,False,,,,,,,,,Orthorhombic
2,CoBi2,12,-58.122589111328125,-4.843549092610677,-58.122589111328125,-4.843549092610677,0.0183158759027719,283.0009284983699,converged,0.3333333333333333,0.0008578300476074,0.0137005911933051,True,,,,,-74.8441285346691,-26.949638090426156,0.0,0.0,Orthorhombic
3,Co2Bi,18,-103.81676483154295,-5.767598046196832,-103.81676483154295,-5.767598046196832,0.0192625671625137,324.65147371783866,converged,0.6666666666666666,0.1654043462541368,0.1718257268269857,False,,,,,,,,,Monoclinic
4,Co7Bi13,20,-95.7143096923828,-4.785715484619141,-95.7143096923828,-4.785715484619141,0.0194114241749048,472.5286449303684,converged,0.35,0.113121211528778,0.1256429036458333,False,,,,,,,,,Triclinic
5,CoBi,8,-41.480838775634766,-5.185104846954346,-41.480838775634766,-5.185104846954346,0.0195988714694976,163.66775385967406,converged,0.5,0.2035998106002807,0.213231881459554,False,,,,,,,,,Orthorhombic
6,Co2Bi3,10,-49.81525802612305,-4.981525802612305,-49.81525802612305,-4.981525802612305,0.01227309089154,219.92298017359877,converged,0.4,0.0806002140045166,0.0921586990356445,False,,,,,,,,,Trigonal
7,CoBi,8,-42.277381896972656,-5.284672737121582,-42.277381896972656,-5.284672737121582,0.0131971538066864,153.76018486183912,converged,0.5,0.1040319204330444,0.1136639912923177,False,,,,,,,,,Hexagonal
8,Co5Bi4,18,-97.28958892822266,-5.404977162679036,-97.28958892822266,-5.404977162679036,0.0183370374143123,350.98629213850694,converged,0.5555555555555556,0.1651600731743706,0.1737219139381691,False,,,,,,,,,Triclinic
9,Co2Bi3,5,-24.691577911376953,-4.938315582275391,-24.691577911376953,-4.938315582275391,0.0175452660769224,113.4560148849472,converged,0.4,0.1238104343414306,0.1353689193725586,False,,,,,,,,,Trigonal
10,CoBi,4,-21.138717651367188,-5.284679412841797,-21.138717651367188,-5.284679412841797,0.0061294501647353,76.85509906406725,converged,0.5,0.1040252447128295,0.1136573155721028,False,,,,,,,,,Hexagonal
11,Co7Bi11,18,-88.37578582763672,-4.909765879313151,-88.37578582763672,-4.909765879313151,0.0180384889245033,422.0476720117968,converged,0.3888888888888889,0.1160736216439141,0.127846152694137,False,,,,,,,,,Triclinic
12,CoBi,4,-20.5609130859375,-5.140228271484375,-20.5609130859375,-5.140228271484375,0.006225018762052,88.22318554653363,converged,0.5,0.2484763860702514,0.2581084569295247,False,,,,,,,,,Tetragonal
13,CoBi2,12,-57.74053955078125,-4.8117116292317705,-57.74053955078125,-4.8117116292317705,0.0117514263838529,278.73534092060595,converged,0.3333333333333333,0.0326952934265136,0.0455380545722113,False,,,,,-73.92717294038717,-35.865281314853,0.0,0.0,Monoclinic
14,Co3Bi2,10,-55.80980682373047,-5.580980682373047,-55.80980682373047,-5.580980682373047,0.0186626594513654,190.3467204693736,converged,0.6,0.1343026161193847,0.1420082728068034,False,,,,,,,,,Monoclinic
15,Co2Bi3,10,-49.815155029296875,-4.981515502929687,-49.815155029296875,-4.981515502929687,0.0057093333452939,219.7857177861581,converged,0.4,0.0806105136871337,0.0921689987182617,False,,,,,,,,,Trigonal
16,CoBi,4,-21.138721466064453,-5.284680366516113,-21.138721466064453,-5.284680366516113,0.0066868755966424,76.86123456824902,converged,0.5,0.1040242910385131,0.1136563618977864,False,,,,,,,,,Hexagonal
17,CoBi,8,-41.73785781860352,-5.2172322273254395,-41.73785781860352,-5.2172322273254395,0.0121336877346038,150.5410299888687,converged,0.5,0.171472430229187,0.1811045010884603,False,,,,,,,,,Orthorhombic
18,Co5Bi4,18,-96.48101806640624,-5.360056559244792,-96.48101806640624,-5.360056559244792,0.01633295789361,341.7779452550796,converged,0.5555555555555556,0.2100806766086154,0.2186425173724139,False,,,,,,,,,Monoclinic
19,Co8Bi11,19,-94.88509368896484,-4.9939522994192025,-94.88509368896484,-4.9939522994192025,0.0170000903308391,455.9163938811613,converged,0.4210526315789473,0.1369271152897885,0.1480800394426312,False,,,,,,,,,Triclinic
20,CoBi3,16,-73.38729858398438,-4.586706161499023,-73.38729858398438,-4.586706161499023,0.007317685522139,433.0489897971216,converged,0.25,-0.0144481062889099,0.0,True,,,,,-64.49969151173019,-29.370927110378663,0.0,0.0,Cubic
21,CoBi2,12,-57.74040222167969,-4.811700185139974,-57.74040222167969,-4.811700185139974,0.0194243472069501,278.6007487976136,converged,0.3333333333333333,0.0327067375183105,0.0455494986640082,False,,,,,,,,,Monoclinic
