idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio,crystal_system
0,Fe7Bi13,20,-104.59165954589844,-5.229582977294922,0.0151765653863549,507.9864070507689,converged,0.35,0.1748544096946716,0.1748544096946716,False,,,,,-58.842465714003936,-21.68592997232412,0.0,0.0,Triclinic
1,FeBi,4,-23.52783966064453,-5.881959915161133,0.0108779864385724,85.43185348599977,converged,0.5,0.2290314435958862,0.2290314435958862,False,,,,,-68.75478099059603,-26.25937800366531,0.0,0.0,Tetragonal
2,Fe2Bi,18,-118.11009979248048,-6.561672210693359,0.0183941330760717,321.60929583246883,converged,0.6666666666666666,0.3343791166941325,0.3343791166941325,False,,,,,,,,,Triclinic
3,FeBi,4,-23.2027530670166,-5.80068826675415,0.006244066171348,83.58327923518044,converged,0.5,0.3103030920028686,0.3103030920028686,False,,,,,,,,,Hexagonal
4,FeBi4,15,-67.81840515136719,-4.521227010091146,0.0143024642020463,442.53391452661634,converged,0.2,0.1766564051310221,0.1766564051310221,False,,,,,-46.57132005134086,-21.40745042198718,0.0,0.0,Trigonal
5,FeBi2,6,-30.375988006591797,-5.0626646677653,0.0116251548752188,136.85099880473763,converged,0.3333333333333333,0.2632667223612467,0.2632667223612467,False,,,,,,,,,Tetragonal
6,FeBi2,12,-60.052303314208984,-5.004358609517415,0.1259239315986633,312.35374624620545,max_steps,0.3333333333333333,0.3215727806091308,0.3215727806091308,False,,,,,,,,,Orthorhombic
7,FeBi5,18,-78.46002197265625,-4.358890109592014,0.017387481406331,519.2844480377628,converged,0.1666666666666666,0.1819813119040595,0.1819813119040595,False,,,,,-48.74962546129752,-10.365439291569643,0.0,0.0,Triclinic
8,FeBi2,12,-59.64469146728515,-4.970390955607097,0.0176409687846899,283.22826435218246,converged,0.3333333333333333,0.3555404345194499,0.3555404345194499,False,,,,,,,,,Orthorhombic
9,FeBi4,10,-45.242313385009766,-4.524231338500977,0.0163206569850444,273.562978956916,converged,0.2,0.1736520767211914,0.1736520767211914,False,,,,,-56.943324500092274,-18.85656116657211,0.0,0.0,Orthorhombic
10,Fe2Bi3,5,-26.76711082458496,-5.353422164916992,0.0150487869977951,112.81465539312224,converged,0.4,0.2865332126617431,0.2865332126617431,False,,,,,,,,,Orthorhombic
11,FeBi4,5,-22.274688720703125,-4.454937744140625,0.0160528179258108,138.84673973906715,converged,0.2,0.2429456710815429,0.2429456710815429,False,,,,,,,,,Tetragonal
