idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio
0,MnBi2,12,-64.88334655761719,-5.406945546468099,0.01775023713707924,312.6969718491806,converged,0.3333333333333333,-1.0637129147847493,0.03347529967625951,False,,,,,,,,
1,MnBi,8,-50.2517204284668,-6.28146505355835,0.012531538493931293,184.84267450570877,converged,0.5,-1.6445218324661255,0.0012604892253877953,True,,,,,-47.34166442709183,-26.086707937575945,0.0,0.0
2,Mn4Bi3,14,-93.0119857788086,-6.643713269914899,0.015046889893710613,295.71759287550236,converged,0.5714285714285714,-1.8808940819331579,0.0,True,,,,,-82.24256399655548,-31.142669120168314,0.0,0.0
3,MnBi2,12,-65.12147521972656,-5.42678960164388,0.006894509308040142,321.5384940939549,converged,0.3333333333333333,-1.0835569699605305,0.013631244500478257,True,,,,,,,,
4,MnBi,4,-25.125822067260742,-6.2814555168151855,0.014192266389727592,92.53286631096468,converged,0.5,-1.6445122957229614,0.0012700259685518578,True,,,,,-46.89776208198166,-27.03676841024744,0.0,0.0
5,MnBi,4,-25.125770568847656,-6.281442642211914,0.019051916897296906,92.56509783954681,converged,0.5,-1.64449942111969,0.0012829005718233422,True,,,,,-46.79745925213904,-26.549324809913298,0.0,0.0
6,MnBi,4,-25.125707626342773,-6.281426906585693,0.008178790099918842,92.50626645283128,converged,0.5,-1.6444836854934692,0.0012986361980440453,True,,,,,-44.15405407620054,-23.98788626494293,0.0,0.0
7,Mn2Bi3,10,-57.38896942138672,-5.7388969421386715,0.01591583341360092,259.9862405983918,converged,0.4,-1.2781800746917724,0.038445782661438166,False,,,,,,,,
8,Mn5Bi7,12,-70.1581802368164,-5.8465150197347,0.019426362589001656,300.4156475813427,converged,0.4166666666666667,-1.3564270933469136,0.015058174729347451,True,,,,,,,,
9,MnBi6,7,-31.11429214477539,-4.4448988778250555,0.017074886709451675,220.83893256896835,converged,0.14285714285714285,-0.4373354911804199,0.032888029302869604,False,,,,,,,,
10,Mn3Bi13,16,-74.86298370361328,-4.67893648147583,0.01421189121901989,472.8228688247338,converged,0.1875,-0.5927006155252457,0.024467755109071843,True,,,,,,,,
11,MnBi2,9,-48.33702087402344,-5.370780097113715,0.018523558974266052,246.4209797045279,converged,0.3333333333333333,-1.0275474654303656,0.06964074903064321,False,,,,,,,,
