idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio,crystal_system
0,Bi2Ru,12,-65.34435272216797,-5.445362726847331,0.019432209432125,282.49808282021183,converged,0.3333333333333333,0.1446201006571451,0.1466878255208333,False,,,,,,,,,Orthorhombic
1,Bi3Ru,16,-82.1402587890625,-5.133766174316406,0.0158227086067199,460.2933103435284,converged,0.25,-0.0023261904716491,0.0,True,,,,,-61.12680270938958,-18.67954655413582,0.0,0.0,Monoclinic
2,BiRu,4,-25.19804573059082,-6.299511432647705,0.0199530851095914,86.00400881495909,converged,0.5,0.2075570821762085,0.2091078758239746,False,,,,,,,,,Hexagonal
3,Bi3Ru2,10,-58.548187255859375,-5.854818725585938,0.0196809917688369,240.36137963067551,converged,0.4,0.1019983768463134,0.1038593292236328,False,,,,,-102.24998375625296,-43.103809753173465,0.0,0.0,Monoclinic
4,Bi2Ru,12,-65.34441375732422,-5.445367813110352,0.0172382872551679,282.1915374046505,converged,0.3333333333333333,0.1446150143941243,0.1466827392578125,False,,,,,,,,,Orthorhombic
5,Bi2Ru,6,-33.184364318847656,-5.530727386474609,0.0162879414856433,135.87120440934945,converged,0.3333333333333333,0.0592554410298665,0.0613231658935546,False,,,,,-90.70930992840792,-33.182150823892,0.0,0.0,Tetragonal
6,Bi4Ru5,9,-59.84819412231445,-6.649799346923828,0.0149428881704807,198.79375184464195,converged,0.5555555555555556,0.1629643970065646,0.1643428802490234,False,,,,,,,,,Tetragonal
7,Bi13Ru3,16,-75.90444946289062,-4.744028091430664,0.017538757994771,461.8376149895597,converged,0.1875,0.0435047596693038,0.0452494025230407,False,,,,,-71.19807106607439,-27.449168398332624,0.0,0.0,Triclinic
8,Bi3Ru,4,-20.172195434570312,-5.043048858642578,0.0167342517524957,104.8581199502982,converged,0.25,0.0883911252021789,0.0907173156738281,False,,,,,-71.35806666456601,-22.79949513768555,0.0,0.0,Orthorhombic
9,Bi4Ru5,9,-59.847900390625,-6.649766710069445,0.0125602148473262,198.5810301576155,converged,0.5555555555555556,0.1629970338609483,0.1643755171034071,False,,,,,,,,,Tetragonal
10,BiRu3,4,-29.398590087890625,-7.349647521972656,0.0107878120616078,65.95462771805323,converged,0.75,0.5330495238304138,0.5338249206542969,False,,,,,,,,,Tetragonal
11,Bi7Ru5,12,-69.85562133789062,-5.821301778157552,0.016594972461462,268.35962370401415,converged,0.4166666666666667,0.2272238930066426,0.2290331522623698,False,,,,,,,,,Monoclinic
