idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio
0,Co2Sb3,10,-54.38358688354492,-5.4383586883544925,0.0176506657153368,196.61685227780148,converged,0.6,-0.19606075286865235,0.04915084838867187,False,,,,,,,,
1,Co2Sb,9,-54.15129089355469,-6.0168100992838545,0.01840806193649769,131.5879546601968,converged,0.3333333333333333,0.016287803649902344,0.17614205678304035,False,,,,,,,,
2,CoSb,8,-46.22894287109375,-5.778617858886719,0.018177611753344536,135.30970343335025,converged,0.5,-0.23976993560791016,1.1444091796875e-05,True,,,,,-141.29108844466128,-68.98979541459471,0.0,0.0
3,CoSb3,8,-39.66009521484375,-4.957511901855469,0.016898594796657562,183.70632715368615,converged,0.75,-0.16003894805908203,0.0265848636627197,False,,,,,-102.95982807921857,-49.46086802257209,0.0,0.0
4,Co5Sb4,9,-50.87971878051758,-5.6533020867241754,0.018426358699798584,179.10975566892466,converged,0.4444444444444444,0.05029582977294922,0.2634348339504666,False,,,,,,,,
5,CoSb,8,-46.228904724121094,-5.778613090515137,0.018885672092437744,135.2923230976053,converged,0.5,-0.23976516723632812,1.621246337890625e-05,True,,,,,-121.46617334229842,-63.24629518412013,0.0,0.0
6,Co3Sb2,5,-29.507488250732422,-5.901497650146484,0.005011118948459625,83.52327930407826,converged,0.4,-0.06609973907470704,0.1257253646850586,False,,,,,,,,
7,Co3Sb4,7,-38.64045333862305,-5.520064762660435,0.01650135964155197,133.26380873975452,converged,0.5714285714285714,-0.1930382592337472,0.050621850149972114,False,,,,,,,,
8,CoSb2,12,-63.521156311035156,-5.293429692586263,0.020494654774665833,251.14820150624158,max_steps,0.6666666666666666,-0.24883174896240234,0.0,True,,,,,-111.66074344469655,-58.56850744581867,0.0,0.0
9,Co7Sb4,11,-65.2463607788086,-5.931487343528054,0.018955172970891,168.13670186737144,converged,0.36363636363636365,0.011746926741166548,0.18613338470458984,False,,,,,,,,
10,CoSb,8,-46.229034423828125,-5.778629302978516,0.012342635542154312,135.24547117939247,converged,0.5,-0.23978137969970703,0.0,True,,,,,-126.04338743034397,-62.376194182723225,0.0,0.0
11,Co2Sb3,5,-26.489198684692383,-5.297839736938476,0.011157584376633167,105.89349974932678,converged,0.6,-0.05554180145263672,0.1896697998046875,False,,,,,,,,
