idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio,crystal_system
0,Co2Si3,10,-63.89031600952149,-6.389031600952149,0.0171972997486591,123.00739258815062,converged,0.6,-0.3316705703735351,0.1233348846435546,False,,,,,,,,,Monoclinic
1,Co5Si6,11,-72.72879791259766,-6.611708901145241,0.017356239259243,133.9190688472463,converged,0.5454545454545454,-0.4666899767788974,0.0382628007368607,False,,,,,,,,,Triclinic
2,CoSi,4,-26.377111434936523,-6.594277858734131,0.0180220697075128,50.64596049744606,converged,0.5,-0.3762106895446777,0.1703648567199707,False,,,,,,,,,Hexagonal
3,Co3Si2,10,-68.11180877685547,-6.811180877685547,0.0194520819932222,108.4085954738066,converged,0.4,-0.4324075698852539,0.0548492431640625,False,,,,,,,,,Orthorhombic
4,Co2Si3,10,-65.12366485595703,-6.512366485595703,0.0186665020883083,121.60696360995368,converged,0.6,-0.4550054550170898,0.0,True,,,,,-192.49635057992128,-84.96854678844785,0.0,0.0,Trigonal
5,Co2Si,9,-62.40259552001953,-6.933621724446614,0.0146526051685214,96.83054853713628,converged,0.3333333333333333,-0.4477109909057617,0.0,True,,,,,-197.6538993903907,-88.10669058450104,0.0,0.0,Hexagonal
6,CoSi3,12,-70.90248107910156,-5.90854008992513,0.0163326077163219,170.37270991191735,converged,0.75,-0.0922382672627766,0.1921401421229044,False,,,,,,,,,Monoclinic
7,CoSi,4,-27.058570861816406,-6.764642715454102,0.0118120880797505,43.773130065602984,converged,0.5,-0.5465755462646484,0.0,True,,,,,-210.00556444471783,-106.1473494042549,0.0,0.0,Monoclinic
8,CoSi,4,-27.05853843688965,-6.764634609222412,0.0058975163847208,43.75871300125882,converged,0.5,-0.546567440032959,8.106231689453125e-06,True,,,,,-218.5536026825091,-109.9413717886224,0.0,0.0,Monoclinic
9,Co2Si,6,-41.34151840209961,-6.890253067016602,0.0088156731799244,68.19741422465763,converged,0.3333333333333333,-0.4043423334757487,0.043368657430013,False,,,,,,,,,Tetragonal
10,Co5Si,6,-41.90278244018555,-6.983797073364258,0.0159465316683053,64.00990588414909,converged,0.1666666666666666,-0.2300427754720052,0.0,True,,,,,-231.71509581806973,-110.06492609432048,0.0,0.0,Orthorhombic
11,CoSi2,12,-74.82762908935547,-6.235635757446289,0.0107157649472355,162.93521383758207,converged,0.6666666666666666,-0.2854121526082356,0.0937590599060059,False,,,,,,,,,Trigonal
