idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio
0,Bi4Mo3,7,-44.631324768066406,-6.3759035382952005,0.019634315744042397,178.7629416017584,converged,0.5714285714285714,0.4215367180960519,0.4215367180960519,False,,,,,,,,
1,BiMo,4,-28.41160774230957,-7.102901935577393,0.020238222554326057,95.4377403464307,max_steps,0.5,0.20147645473480225,0.20147645473480225,False,,,,,-126.21475059975307,-27.423476682515716,0.0,0.0
2,Bi2Mo,6,-35.31389236450195,-5.885648727416992,0.016650842502713203,154.42978858335195,converged,0.6666666666666666,0.23587401707967123,0.23587401707967123,False,,,,,,,,
3,Bi5Mo,12,-58.59770584106445,-4.883142153422038,0.01781303808093071,359.3449528009275,converged,0.8333333333333334,0.05552494525909424,0.05552494525909424,False,,,,,-60.41031009917752,-17.840837281530575,0.0,0.0
4,Bi2Mo,12,-69.9443359375,-5.828694661458333,0.011662250384688377,320.2464161116685,converged,0.6666666666666666,0.2928280830383301,0.2928280830383301,False,,,,,,,,
5,BiMo,4,-28.41156768798828,-7.10289192199707,0.01546236127614975,95.3188858135189,converged,0.5,0.2014864683151245,0.2014864683151245,False,,,,,,,,
6,BiMo,4,-27.47854995727539,-6.869637489318848,0.014482765458524227,88.71887176221968,converged,0.5,0.43474090099334717,0.43474090099334717,False,,,,,,,,
7,Bi2Mo3,5,-39.090789794921875,-7.818157958984375,0.004612716380506754,108.322729140613,converged,0.4,0.19593381881713867,0.19593381881713867,False,,,,,-161.2365990298237,-47.74197154186663,0.0,0.0
8,Bi4Mo3,14,-89.42858123779297,-6.387755802699497,0.01990790106356144,348.27051370117533,converged,0.5714285714285714,0.40968445369175505,0.40968445369175505,False,,,,,,,,
9,Bi11Mo5,16,-92.44396209716797,-5.777747631072998,0.019525574520230293,470.67450358924464,converged,0.6875,0.19591815769672394,0.19591815769672394,False,,,,,-79.0761712823865,-28.690522420782045,0.0,0.0
10,Bi3Mo2,10,-64.22520446777344,-6.422520446777344,0.015194747596979141,263.21163065073324,converged,0.6,0.17214455604553222,0.17214455604553222,False,,,,,-97.66168748949299,-28.759954140886762,0.0,0.0
11,Bi3Mo,8,-42.449981689453125,-5.306247711181641,0.01679317094385624,217.63988944490487,converged,0.75,0.22384721040725708,0.22384721040725708,False,,,,,,,,
