idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio,crystal_system
0,Hf3N2,20,-214.3386383056641,-10.716931915283205,0.0154158724471926,280.75640052594025,converged,0.6,-3.665966510772705,0.029901885986328,False,,,,,,,,,Orthorhombic
1,HfN,4,-42.14548110961914,-10.536370277404783,0.0156955774873495,47.77056184444781,converged,0.5,-4.197721600532532,0.3588514328002929,False,,,,,,,,,Tetragonal
2,Hf2N,18,-190.7314453125,-10.59619140625,0.0195289701223373,277.03797452746204,converged,0.6666666666666666,-3.0703481833140054,0.0517171223958334,False,,,,,,,,,Orthorhombic
3,Hf2N,12,-127.36139678955078,-10.613449732462565,0.0194163527339696,185.78091341500397,converged,0.6666666666666666,-3.087606509526571,0.034458796183268,False,,,,,,,,,Monoclinic
4,HfN,8,-84.8638916015625,-10.607986450195312,0.0135434325784444,118.5559164244326,converged,0.5,-4.269337773323059,0.2872352600097656,False,,,,,,,,,Cubic
5,Hf3N2,10,-107.31028747558594,-10.731028747558591,0.0133278463035821,139.48655451164322,converged,0.6,-3.680063343048096,0.0158050537109373,True,,,,,-213.84983712510223,-124.256470332282,0.0,0.0,Trigonal
6,Hf2N,12,-127.11782836914062,-10.593152364095053,0.0189229417592287,186.4708403582627,converged,0.6666666666666666,-3.0673091411590576,0.0547561645507812,False,,,,,,,,,Orthorhombic
7,Hf3N,12,-123.2650375366211,-10.272086461385092,0.0209438446909189,227.02624851965209,max_steps,0.75,-2.1526459654172263,0.1889030138651524,False,,,,,,,,,Triclinic
8,Hf9N7,16,-172.55467224121094,-10.784667015075684,0.0095449043437838,210.9728231459567,converged,0.5625,-4.000820383429527,0.0178122520446777,True,,,,,-247.49149064506983,-138.56759429355253,0.0,0.0,Triclinic
9,Hf2N,9,-95.8311767578125,-10.647908528645834,0.0167375840246677,140.22289067791485,converged,0.6666666666666666,-3.122065305709839,0.0,True,,,,,-189.86356068599713,-104.91603411746348,0.0,0.0,Trigonal
10,HfN,4,-43.58088684082031,-10.895221710205078,0.0175803489983081,46.785204884647605,converged,0.5,-4.556573033332825,0.0,True,,,,,-274.27781642193975,-131.82905381545413,0.0,0.0,Cubic
11,Hf3N2,10,-107.21971130371094,-10.721971130371092,0.0149258421733975,140.87855105747232,converged,0.6,-3.671005725860596,0.0248626708984374,True,,,,,-222.32094672413643,-128.1681159651268,0.0,0.0,Orthorhombic
