idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio
0,Ta2N,6,-68.44866180419922,-11.40811030069987,0.013760445639491081,80.57098900674059,converged,0.6666666666666666,-2.5832475821177163,0.05316136678059946,False,,,,,,,,
1,TaN,4,-43.25308609008789,-10.813271522521973,0.006878129672259092,52.978077815342104,converged,0.5,-3.5003582239151,0.23119449615478516,False,,,,,,,,
2,TaN,4,-44.17786407470703,-11.044466018676758,0.008908508345484734,43.936960154035475,converged,0.5,-3.7315527200698853,0.0,True,,,,,-334.78012130463674,-201.77756855451827,0.0,0.0
3,Ta7N8,15,-163.87908935546875,-10.925272623697916,0.019068973138928413,175.06413314126797,converged,0.4666666666666667,-3.9147492090861005,0.002320988972981386,True,,,,,-288.1244976353639,-113.0443463647428,0.0,0.0
4,Ta3N2,20,-225.8436279296875,-11.292181396484375,0.019347038120031357,248.68537471168634,converged,0.6,-3.072098445892334,0.0023680114746094105,True,,,,,,,,
5,Ta4N,15,-175.0576934814453,-11.67051289876302,0.01887468434870243,235.18730349812662,converged,0.8,-1.6360906442006429,0.005237579345702681,True,,,,,,,,
6,TaN3,4,-38.31191635131836,-9.57797908782959,0.01499576959758997,48.39716720542662,converged,0.25,-4.532989919185638,0.0,True,,,,,-192.87959740475264,-103.09873771107704,0.0,0.0
7,TaN2,6,-61.05409240722656,-10.175682067871094,0.018110856413841248,69.07071411962403,converged,0.3333333333333333,-4.374718189239502,0.08777395884195993,False,,,,,,,,
8,TaN,6,-65.84020233154297,-10.973367055257162,0.014314225874841213,65.31967658332435,converged,0.5,-3.660453756650289,0.0710989634195962,False,,,,,,,,
9,Ta5N3,16,-181.06167602539062,-11.316354751586914,0.015961766242980957,208.80474738579488,converged,0.625,-2.869479387998581,0.040715503692626775,False,,,,,,,,
10,Ta3N5,8,-84.84955596923828,-10.606194496154785,0.019646916538476944,102.87202219403348,converged,0.375,-4.427243262529373,0.0,True,,,,,-272.7280346358665,-150.3273510954654,0.0,0.0
11,Ta8N3,11,-127.7412109375,-11.612837357954545,0.011448920704424381,161.1804534890867,converged,0.7272727272727273,-2.2381748502904717,0.0,True,,,,,-251.39638037048113,-119.74709484969424,0.0,0.0
