idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio,crystal_system
0,Zr7N,16,-142.3189697265625,-8.894935607910156,0.0178682766854763,334.22300538315193,converged,0.875,-1.1063838303089142,0.0552120208740229,False,,,,,,,,,Monoclinic
1,Zr5N2,14,-133.02671813964844,-9.501908438546318,0.0160683784633874,246.4891574625566,converged,0.7142857142857143,-2.633833817073277,0.0212424142020082,True,,,,,,,,,Triclinic
2,Zr4N5,9,-88.92619323730469,-9.880688137478298,0.0164903961122035,113.21034532924207,converged,0.4444444444444444,-4.558106025060018,0.0,True,,,,,-221.4744460868821,-119.61617169856304,0.0,0.0,Trigonal
3,Zr2N,12,-116.31515502929688,-9.69292958577474,0.015380092896521,194.59238179835316,converged,0.6666666666666666,-3.0975889364878335,0.0,True,,,,,-163.66458576715974,-89.92414161862695,0.0,0.0,Orthorhombic
4,Zr2N,18,-173.3376007080078,-9.629866706000437,0.0196975506842136,293.59619100900676,converged,0.6666666666666666,-3.034526056713528,0.0630628797743053,False,,,,,,,,,Monoclinic
5,ZrN,12,-121.35205078125,-10.1126708984375,0.0128223411738872,147.81800181257486,converged,0.5,-4.471899151802063,1.1444091796875e-05,True,,,,,-255.97516534870388,-127.70992869910074,0.0,0.0,Cubic
6,ZrN,16,-161.80291748046875,-10.112682342529297,0.0147366765886545,197.02198754519316,converged,0.5,-4.47191059589386,0.0,True,,,,,-255.2241400696689,-127.41958222908605,0.0,0.0,Cubic
7,Zr2N,3,-29.002044677734375,-9.66734822591146,0.0016241952544078,49.3087918975893,converged,0.6666666666666666,-3.0720075766245523,0.0255813598632812,False,,,,,,,,,Trigonal
8,Zr2N,3,-28.946741104125977,-9.648913701375326,0.0074489647522568,49.5702847844749,converged,0.6666666666666666,-3.053573052088419,0.044015884399414,False,,,,,,,,,Trigonal
9,Zr2N,12,-115.43585968017578,-9.619654973347982,0.0164676196873188,192.74685415883343,converged,0.6666666666666666,-3.0243143240610757,0.0732746124267578,False,,,,,,,,,Tetragonal
10,Zr3N2,5,-49.226593017578125,-9.845318603515626,0.0131364408880472,73.33538955500862,converged,0.6,-3.6318055152893063,0.0155120849609371,True,,,,,-192.5374788036117,-107.55389381810257,0.0,0.0,Tetragonal
11,Zr12N7,19,-185.1888885498047,-9.746783607884458,0.0171521194279193,295.89725500597524,converged,0.631578947368421,-3.352404832839966,0.034514979312294,False,,,,,,,,,Triclinic
