idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio
0,TiN,4,-38.88854217529297,-9.722135543823242,0.0150372926145792,38.396038484746576,converged,0.5,-4.410357117652893,0.10936737060546875,False,,,,,,,,
1,Ti3N,8,-71.44701385498047,-8.930876731872559,0.018464015796780586,110.46629108248925,converged,0.25,-2.35174161195755,0.05028796195983887,False,,,,,,,,
2,TiN,8,-78.65202331542969,-9.831502914428711,0.009412718936800957,76.77261513813872,converged,0.5,-4.519724488258362,0.0,True,,,,,-294.77060938420266,-176.841681808972,0.0,0.0
3,Ti3N,8,-71.45133972167969,-8.931417465209961,0.011096826754510403,110.41488276281152,converged,0.25,-2.3522823452949524,0.04974722862243652,False,,,,,,,,
4,TiN,6,-58.42988586425781,-9.738314310709635,0.015193196013569832,58.19383832480659,converged,0.5,-4.426535884539287,0.09318860371907522,False,,,,,,,,
5,TiN,12,-117.97792053222656,-9.831493377685547,0.014765705913305283,115.23725805190846,converged,0.5,-4.519714951515198,9.5367431640625e-06,True,,,,,-285.964821322164,-173.42514888249224,0.0,0.0
6,TiN2,6,-52.606266021728516,-8.76771100362142,0.01837627775967121,58.70207093802774,converged,0.6666666666666666,-4.30083703994751,0.30358187357584665,False,,,,,,,,
7,Ti2N,6,-53.990962982177734,-8.998493830362955,0.018557852134108543,76.86867614078217,converged,0.3333333333333333,-2.841810941696167,0.36089515686035156,False,,,,,,,,
8,TiN4,10,-84.6312484741211,-8.463124847412109,0.019183680415153503,133.75189707880446,converged,0.8,-4.672174453735352,0.0,True,,,,,-134.43719736273997,-78.26636112904377,0.0,0.0
9,Ti3N5,8,-73.16487884521484,-9.145609855651855,0.0187687911093235,89.83992889838589,converged,0.625,-4.467509776353836,0.11573553085327148,False,,,,,,,,
10,Ti2N,12,-112.31266784667969,-9.359388987223307,0.01612345688045025,149.1640562659458,converged,0.3333333333333333,-3.2027060985565186,0.0,True,,,,,-223.55851582546447,-156.8539386577495,0.0,0.0
11,TiN,4,-39.32598114013672,-9.83149528503418,0.01686006970703602,38.396028806598004,converged,0.5,-4.519716858863831,7.62939453125e-06,True,,,,,-277.1588245353231,-170.01702607048242,0.0,0.0
