idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio
0,TiSi,12,-85.09050750732422,-7.090875625610352,0.019300108775496483,199.73757983729692,converged,0.5,-0.4603614807128906,0.3345985412597656,False,,,,,,,,
1,TiSi,4,-29.70189666748047,-7.425474166870117,0.018998757004737854,59.76941427965274,converged,0.5,-0.7949600219726562,0.0,True,,,,,-154.0792484723404,-122.29173001884791,0.0,0.0
2,TiSi2,9,-60.923824310302734,-6.769313812255859,0.01641731522977352,127.05284170472176,converged,0.6666666666666666,-0.5441255569458008,0.0,True,,,,,-132.29397025741218,-102.37735606249589,0.0,0.0
3,TiSi2,3,-19.407312393188477,-6.469104131062825,0.002020876854658127,42.61251760020522,converged,0.6666666666666666,-0.24391587575276694,0.3002096811930338,False,,,,,,,,
4,TiSi2,12,-79.76905059814453,-6.647420883178711,0.013465655036270618,174.62625312659898,converged,0.6666666666666666,-0.42223262786865234,0.12189292907714844,False,,,,,-142.73939830191313,-86.39505270758337,0.0,0.0
5,TiSi3,4,-24.96224594116211,-6.240561485290527,0.01720421202480793,55.873745924579275,converged,0.75,-0.21803617477416992,0.19005799293518066,False,,,,,,,,
6,Ti9Si5,14,-106.05494689941406,-7.575353349958148,0.011350568383932114,215.9590842668198,converged,0.35714285714285715,-0.5974170139857701,0.12277848379952572,False,,,,,,,,
7,Ti2Si7,18,-110.78492736816406,-6.154718187120226,0.015417446382343769,261.9385973853151,converged,0.7777777777777778,-0.199747191535102,0.16300317976209844,False,,,,,,,,
8,Ti2Si,6,-46.180477142333984,-7.696746190388997,0.01627160981297493,94.07202812145512,converged,0.3333333333333333,-0.6609061559041342,0.04682858784993482,False,,,,,-133.64229082869545,-102.10570235448118,0.0,0.0
9,Ti2Si,12,-92.92289733886719,-7.743574778238933,0.019576769322156906,190.3017428892327,converged,0.3333333333333333,-0.707734743754069,0.0,True,,,,,-133.33065967079563,-97.10476188279893,0.0,0.0
10,Ti2Si3,5,-34.3387336730957,-6.867746734619141,0.012129686772823334,73.49283735442275,converged,0.6,-0.4804281234741211,0.16403121948242183,False,,,,,,,,
11,Ti5Si3,8,-59.64583969116211,-7.455729961395264,0.01576470397412777,121.12305837804671,converged,0.375,-0.521221399307251,0.20831966400146484,False,,,,,,,,
