"candidate_id","target_system","formula","source_system","source_formula","source_material_id","prototype_label","n_atoms","initial_file_path"
"cobi_pyxtal_00001","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_1_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg001_trial000_775b80aa54.cif"
"cobi_pyxtal_00002","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_3_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg003_trial000_a1a4ba2083.cif"
"cobi_pyxtal_00003","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_2_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg002_trial000_5f8f0cb849.cif"
"cobi_pyxtal_00004","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_10_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg010_trial000_d50ee1af68.cif"
"cobi_pyxtal_00005","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_16_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg016_trial000_faad3bf305.cif"
"cobi_pyxtal_00006","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_25_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg025_trial000_7356e074c1.cif"
"cobi_pyxtal_00007","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_6_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg006_trial000_66abf100ac.cif"
"cobi_pyxtal_00008","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_47_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg047_trial000_de7c5c152b.cif"
"cobi_pyxtal_00009","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_75_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg075_trial000_1a17b34259.cif"
"cobi_pyxtal_00010","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_81_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg081_trial000_a2c40c49d5.cif"
"cobi_pyxtal_00011","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_83_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg083_trial000_1f0f9a66ab.cif"
"cobi_pyxtal_00012","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_89_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg089_trial000_a284c1fdeb.cif"
"cobi_pyxtal_00013","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_99_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg099_trial000_7d5c8bcbd4.cif"
"cobi_pyxtal_00014","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_111_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg111_trial000_e5eefc33b0.cif"
"cobi_pyxtal_00015","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_115_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg115_trial000_6bf6469718.cif"
"cobi_pyxtal_00016","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_123_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg123_trial000_5d90b7bc68.cif"
"cobi_pyxtal_00017","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_149_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg149_trial000_644407c230.cif"
"cobi_pyxtal_00018","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_157_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg157_trial000_2fd28dee04.cif"
"cobi_pyxtal_00019","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_156_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg156_trial000_e36aa19c0c.cif"
"cobi_pyxtal_00020","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_174_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg174_trial000_910940e48d.cif"
"cobi_pyxtal_00021","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_183_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg183_trial000_9ee9b2d5d0.cif"
"cobi_pyxtal_00022","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_195_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg195_trial000_ceb6affe99.cif"
"cobi_pyxtal_00023","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_200_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg200_trial000_dfa81cb798.cif"
"cobi_pyxtal_00024","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_150_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg150_trial000_4fe3a09a04.cif"
"cobi_pyxtal_00025","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_162_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg162_trial000_309e0cd89f.cif"
"cobi_pyxtal_00026","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_207_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg207_trial000_dfff18a07c.cif"
"cobi_pyxtal_00027","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_215_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg215_trial000_3d5aa988e5.cif"
"cobi_pyxtal_00028","Co-Bi","Co1Bi1","Co-Bi","Co1Bi1","","pyxtal_random_sg_221_z_1","2","data/candidates/Co-Bi/Co1_Bi1_m1_n1_z1_sg221_trial000_1e9851f49f.cif"
"cobi_pyxtal_00029","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_2_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg002_trial000_db61eb2ad5.cif"
"cobi_pyxtal_00030","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_5_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg005_trial000_1caa851efa.cif"
"cobi_pyxtal_00031","Co-Bi","Co2Bi2","Co-Bi","Co1Bi1","","pyxtal_random_sg_7_z_2","4","data/candidates/Co-Bi/Co2_Bi2_m1_n1_z2_sg007_trial000_b09382981c.cif"
