cif_filename,formula,space_group,n_atoms,n_Co,n_Bi
Co1_Bi1_m1_n1_z1_sg001_trial000_775b80aa54.cif,Co1Bi1,1,2,1,1
Co1_Bi1_m1_n1_z1_sg003_trial000_a1a4ba2083.cif,Co1Bi1,3,2,1,1
Co1_Bi1_m1_n1_z1_sg002_trial000_5f8f0cb849.cif,Co1Bi1,2,2,1,1
Co1_Bi1_m1_n1_z1_sg010_trial000_d50ee1af68.cif,Co1Bi1,10,2,1,1
Co1_Bi1_m1_n1_z1_sg016_trial000_faad3bf305.cif,Co1Bi1,16,2,1,1
Co1_Bi1_m1_n1_z1_sg025_trial000_7356e074c1.cif,Co1Bi1,25,2,1,1
Co1_Bi1_m1_n1_z1_sg006_trial000_66abf100ac.cif,Co1Bi1,6,2,1,1
Co1_Bi1_m1_n1_z1_sg047_trial000_de7c5c152b.cif,Co1Bi1,47,2,1,1
Co1_Bi1_m1_n1_z1_sg075_trial000_1a17b34259.cif,Co1Bi1,75,2,1,1
Co1_Bi1_m1_n1_z1_sg081_trial000_a2c40c49d5.cif,Co1Bi1,81,2,1,1
Co1_Bi1_m1_n1_z1_sg083_trial000_1f0f9a66ab.cif,Co1Bi1,83,2,1,1
Co1_Bi1_m1_n1_z1_sg089_trial000_a284c1fdeb.cif,Co1Bi1,89,2,1,1
Co1_Bi1_m1_n1_z1_sg099_trial000_7d5c8bcbd4.cif,Co1Bi1,99,2,1,1
Co1_Bi1_m1_n1_z1_sg111_trial000_e5eefc33b0.cif,Co1Bi1,111,2,1,1
Co1_Bi1_m1_n1_z1_sg115_trial000_6bf6469718.cif,Co1Bi1,115,2,1,1
Co1_Bi1_m1_n1_z1_sg123_trial000_5d90b7bc68.cif,Co1Bi1,123,2,1,1
Co1_Bi1_m1_n1_z1_sg149_trial000_644407c230.cif,Co1Bi1,149,2,1,1
Co1_Bi1_m1_n1_z1_sg157_trial000_2fd28dee04.cif,Co1Bi1,157,2,1,1
Co1_Bi1_m1_n1_z1_sg156_trial000_e36aa19c0c.cif,Co1Bi1,156,2,1,1
Co1_Bi1_m1_n1_z1_sg174_trial000_910940e48d.cif,Co1Bi1,174,2,1,1
Co1_Bi1_m1_n1_z1_sg183_trial000_9ee9b2d5d0.cif,Co1Bi1,183,2,1,1
Co1_Bi1_m1_n1_z1_sg195_trial000_ceb6affe99.cif,Co1Bi1,195,2,1,1
Co1_Bi1_m1_n1_z1_sg200_trial000_dfa81cb798.cif,Co1Bi1,200,2,1,1
Co1_Bi1_m1_n1_z1_sg150_trial000_4fe3a09a04.cif,Co1Bi1,150,2,1,1
Co1_Bi1_m1_n1_z1_sg162_trial000_309e0cd89f.cif,Co1Bi1,162,2,1,1
Co1_Bi1_m1_n1_z1_sg207_trial000_dfff18a07c.cif,Co1Bi1,207,2,1,1
Co1_Bi1_m1_n1_z1_sg215_trial000_3d5aa988e5.cif,Co1Bi1,215,2,1,1
Co1_Bi1_m1_n1_z1_sg221_trial000_1e9851f49f.cif,Co1Bi1,221,2,1,1
Co2_Bi2_m1_n1_z2_sg002_trial000_db61eb2ad5.cif,Co2Bi2,2,4,2,2
Co2_Bi2_m1_n1_z2_sg005_trial000_1caa851efa.cif,Co2Bi2,5,4,2,2
Co2_Bi2_m1_n1_z2_sg007_trial000_b09382981c.cif,Co2Bi2,7,4,2,2
Co2_Bi2_m1_n1_z2_sg008_trial000_623b029abc.cif,Co2Bi2,8,4,2,2
Co2_Bi2_m1_n1_z2_sg006_trial000_592b4eefc4.cif,Co2Bi2,6,4,2,2
Co2_Bi2_m1_n1_z2_sg013_trial000_573e544096.cif,Co2Bi2,13,4,2,2
Co2_Bi2_m1_n1_z2_sg012_trial000_3d6c9e0865.cif,Co2Bi2,12,4,2,2
Co2_Bi2_m1_n1_z2_sg014_trial000_a8d96e2e85.cif,Co2Bi2,14,4,2,2
Co2_Bi2_m1_n1_z2_sg018_trial000_5912dbe2a4.cif,Co2Bi2,18,4,2,2
