cif_filename,formula,m,n,z,space_group,trial,seed,n_Co,n_Bi,n_atoms,volume,density,packing_fraction,min_CoCo,min_BiBi,min_CoBi,fingerprint
Co1_Bi1_m1_n1_z1_sg001_trial000_775b80aa54.cif,Co1Bi1,1,1,1,1,0,2166472518,1,1,2,73.004128,6.093916,0.321623,,,2.790000,775b80aa5410830dddd53f12e638eb3b6878fa60
Co1_Bi1_m1_n1_z1_sg003_trial000_a1a4ba2083.cif,Co1Bi1,1,1,1,3,0,3201291877,1,1,2,191.127987,2.327660,0.122849,,,2.790000,a1a4ba20837cd933b2379a1649ce3d29f383d16a
Co1_Bi1_m1_n1_z1_sg002_trial000_5f8f0cb849.cif,Co1Bi1,1,1,1,2,0,719104797,1,1,2,94.757503,4.694942,0.247788,,,2.790000,5f8f0cb84930e96100a04fe9b2248f000dc0f84e
Co1_Bi1_m1_n1_z1_sg010_trial000_d50ee1af68.cif,Co1Bi1,1,1,1,10,0,3773737463,1,1,2,43.066041,10.330204,0.545204,,,2.790000,d50ee1af686c89b716ab62593cbc4c444fc9929c
Co1_Bi1_m1_n1_z1_sg016_trial000_faad3bf305.cif,Co1Bi1,1,1,1,16,0,1464716061,1,1,2,61.278521,7.259982,0.383165,,,2.790000,faad3bf30550a6064bc434993b4eb98ad91b723f
Co1_Bi1_m1_n1_z1_sg025_trial000_7356e074c1.cif,Co1Bi1,1,1,1,25,0,4127825055,1,1,2,43.450185,10.238874,0.540384,,,2.790000,7356e074c18a4ac5d8d2919e4ccb045171369605
Co1_Bi1_m1_n1_z1_sg006_trial000_66abf100ac.cif,Co1Bi1,1,1,1,6,0,2357027936,1,1,2,70.180716,6.339077,0.334562,,,2.790000,66abf100ac577d12e7aa8dc7fb739d898f812c5c
Co1_Bi1_m1_n1_z1_sg047_trial000_de7c5c152b.cif,Co1Bi1,1,1,1,47,0,2651967664,1,1,2,40.984590,10.854836,0.572893,,,2.790000,de7c5c152b857b704ae0d662360fdaa5245b6352
Co1_Bi1_m1_n1_z1_sg075_trial000_1a17b34259.cif,Co1Bi1,1,1,1,75,0,2168892281,1,1,2,180.847712,2.459976,0.129832,,,2.790000,1a17b34259f666d9f811706a55b2788baf0256df
Co1_Bi1_m1_n1_z1_sg081_trial000_a2c40c49d5.cif,Co1Bi1,1,1,1,81,0,472373383,1,1,2,30.040133,14.809555,0.781614,,,2.790000,a2c40c49d5b2d8abba14ea1a224b4323c35ae02c
Co1_Bi1_m1_n1_z1_sg083_trial000_1f0f9a66ab.cif,Co1Bi1,1,1,1,83,0,1882594122,1,1,2,178.827069,2.487772,0.131299,,,2.790000,1f0f9a66ab93e20bfc40ada89449771bd10bcbcb
Co1_Bi1_m1_n1_z1_sg089_trial000_a284c1fdeb.cif,Co1Bi1,1,1,1,89,0,4254937861,1,1,2,29.663455,14.997612,0.791540,,,2.790000,a284c1fdeb5a8f7ff5ea0ce4b38377f34cbdd562
