cif_filename,formula,space_group,n_atoms,n_Co,n_Bi,min_CoCo,min_BiBi,min_CoBi,volume,volume_per_atom,packing_fraction,task_id,reduced_formula,crystal_system,co_fraction,sg_number,formula_pretty,nsites,spacegroup_number,min_AB_dist,min_AA_dist,min_BB_dist,cif_present,p_stable,predicted_label,confidence_band,rank_overall,rank_shortlist
Co4_Bi12_m1_n3_z4_sg074_trial000_64d6d00bc0.cif,Co4Bi12,74,16,4,12,4.824987,2.802838,2.79,474.882368,29.680148,0.455498,Co4_Bi12_m1_n3_z4_sg074_trial000_64d6d00bc0,CoBi3,Orthorhombic,0.25,74,CoBi3,16,74,2.79,2.802838,4.824987,True,0.9667,stable,high stable,1,1
Co4_Bi16_m1_n4_z4_sg063_trial000_c1956ff93c.cif,Co4Bi16,63,20,4,16,4.058577,2.79,3.053272,591.262734,29.563137,0.469338,Co4_Bi16_m1_n4_z4_sg063_trial000_c1956ff93c,CoBi4,Orthorhombic,0.2,63,CoBi4,20,63,3.053272,2.79,4.058577,True,0.9582,stable,high stable,2,2
Co4_Bi12_m1_n3_z4_sg056_trial000_5d6977dd0b.cif,Co4Bi12,56,16,4,12,3.698109,2.79,2.984148,430.422397,26.9014,0.502548,Co4_Bi12_m1_n3_z4_sg056_trial000_5d6977dd0b,CoBi3,Orthorhombic,0.25,56,CoBi3,16,56,2.984148,2.79,3.698109,True,0.9576,stable,high stable,3,3
Co4_Bi12_m1_n3_z4_sg055_trial000_60b9ffd1b8.cif,Co4Bi12,55,16,4,12,4.883095,2.840166,2.79,590.303214,36.893951,0.366435,Co4_Bi12_m1_n3_z4_sg055_trial000_60b9ffd1b8,CoBi3,Orthorhombic,0.25,55,CoBi3,16,55,2.79,2.840166,4.883095,True,0.9535,stable,high stable,4,4
Co2_Bi6_m1_n3_z2_sg048_trial000_7ef97e627f.cif,Co2Bi6,48,8,2,6,2.941255,2.79,2.79,168.689345,21.086168,0.641142,Co2_Bi6_m1_n3_z2_sg048_trial000_7ef97e627f,CoBi3,Orthorhombic,0.25,48,CoBi3,8,48,2.79,2.79,2.941255,True,0.953,stable,high stable,5,5
Co3_Bi9_m1_n3_z3_sg148_trial000_8aee15d9ec.cif,Co3Bi9,148,12,3,9,4.717299,2.79,2.79,258.747333,21.562278,0.626985,Co3_Bi9_m1_n3_z3_sg148_trial000_8aee15d9ec,CoBi3,Trigonal,0.25,148,CoBi3,12,148,2.79,2.79,4.717299,True,0.9521,stable,high stable,6,6
Co2_Bi14_m1_n7_z2_sg217_trial000_79af4a469d.cif,Co2Bi14,217,16,2,14,5.743729,2.845623,2.79,291.73592,18.233495,0.790243,Co2_Bi14_m1_n7_z2_sg217_trial000_79af4a469d,CoBi7,Cubic,0.125,217,CoBi7,16,217,2.79,2.845623,5.743729,True,0.9507,stable,high stable,7,7
Co2_Bi12_m1_n6_z2_sg165_trial000_83615efc9a.cif,Co2Bi12,165,14,2,12,5.751139,2.79,2.833568,413.710585,29.550756,0.483297,Co2_Bi12_m1_n6_z2_sg165_trial000_83615efc9a,CoBi6,Trigonal,0.14285714285714285,165,CoBi6,14,165,2.833568,2.79,5.751139,True,0.948,stable,high stable,9,8
Co4_Bi10_m2_n5_z2_sg065_trial000_7ced4061dd.cif,Co4Bi10,65,14,4,10,4.645168,2.816563,2.79,311.348477,22.239177,0.596472,Co4_Bi10_m2_n5_z2_sg065_trial000_7ced4061dd,Co2Bi5,Orthorhombic,0.2857142857142857,65,Co2Bi5,14,65,2.79,2.816563,4.645168,True,0.9468,stable,high stable,14,9
Co4_Bi16_m1_n4_z4_sg074_trial000_0294d3d64e.cif,Co4Bi16,74,20,4,16,4.740798,2.79,2.843671,665.412108,33.270605,0.417038,Co4_Bi16_m1_n4_z4_sg074_trial000_0294d3d64e,CoBi4,Orthorhombic,0.2,74,CoBi4,20,74,2.843671,2.79,4.740798,True,0.9468,stable,high stable,15,10
