material_id,formula_pretty,chemsys,spacegroup_number,nsites,volume,density,formation_energy_per_atom,energy_above_hull,band_gap,total_magnetization,magnetic_ordering,is_stable,volume_per_atom,composition_A_fraction,cs_Cubic,cs_Hexagonal,cs_Monoclinic,cs_Orthorhombic,cs_Tetragonal,cs_Triclinic,cs_Trigonal
mp-1079254,Co2As,As-Co,189,9,109.86723073201136,8.741423266064404,-0.073868722361109,0.07119013055555501,0.0,3.2434562,1,0,12.207470081334597,0.3333333333333333,0,1,0,0,0,0,0
mp-18206,Co2As,As-Co,189,36,439.1267276087662,8.748235135935715,-0.085569199027774,0.05948965388889001,0.0,10.3807141,2,0,12.197964655799062,0.3333333333333333,0,1,0,0,0,0,0
mp-22210,Co2As,As-Co,187,3,36.65342077458297,8.734027607821071,0.10824907208333401,0.25330792499999905,0.0,1.5531726,1,0,12.217806924860989,0.3333333333333333,0,1,0,0,0,0,0
mp-16316,Co5As2,As-Co,185,42,493.80969569288357,8.968534117345886,-0.055527417976190006,0.068808741666666,0.0,25.441083,1,0,11.757373706973418,0.2857142857142857,0,1,0,0,0,0,0
mp-15679,CoAs,As-Co,194,8,107.44329564278102,8.274918040050586,-0.18689665437500103,0.030691624999999,0.0,3.2e-06,0,1,13.430411955347628,0.5,0,1,0,0,0,0,0
mp-583,CoAs,As-Co,62,8,105.57543281069009,8.421319635896511,-0.213544173750001,0.0040441056249980005,0.0,1.368862099999999,1,1,13.196929101336261,0.5,0,0,0,1,0,0,0
mp-1018672,CoAs2,As-Co,58,6,91.92037809190512,7.543079505934778,-0.270437095,0.019680610833333,0.0,0.0,0,1,15.32006301531752,0.6666666666666666,0,0,0,1,0,0,0
mp-2715,CoAs2,As-Co,14,12,183.76838977981774,7.546049905466102,-0.290117705833334,0.0,0.172299999999999,0.0,0,1,15.314032481651479,0.6666666666666666,0,0,1,0,0,0,0
mp-452,CoAs3,As-Co,204,16,275.5006481481551,6.839789408557092,-0.29503400499999904,0.0,0.0,4e-07,0,1,17.218790509259694,0.75,1,0,0,0,0,0,0
mp-2644,CoSb,Co-Sb,194,4,66.00239566445079,9.092036928225594,-0.038880820000002,0.05970856333333,0.0,0.014540299999999002,0,0,16.500598916112697,0.5,0,1,0,0,0,0,0
mp-755,CoSb2,Co-Sb,14,12,240.51946891339605,8.352510478830764,-0.100823533333335,0.030628977777777,0.0,0.0,0,1,20.043289076116338,0.3333333333333333,0,0,1,0,0,0,0
mp-9835,CoSb2,Co-Sb,58,6,120.4577884857717,8.338777466013516,-0.090882553333334,0.040569957777776,0.0,2e-07,0,1,20.07629808096195,0.3333333333333333,0,0,0,1,0,0,0
mp-1317,CoSb3,Co-Sb,204,16,371.0008899393585,7.594834427268833,-0.147884075,0.0,0.1633,0.0,0,1,23.187555621209906,0.25,1,0,0,0,0,0,0
mp-684822,Co19Te34,Co-Te,2,53,1165.0615239633253,7.779365363838764,-0.17299838613207402,0.004905165660375001,0.0,2.485854,1,1,21.9822929049684,0.3584905660377358,0,0,0,0,0,1,0
mp-1183699,Co3Te,Co-Te,139,4,51.561386550286784,9.803215866903717,0.22563960875000003,0.294969669374999,0.0,2.9081134,1,0,12.890346637571696,0.75,0,0,0,0,1,0,0
mp-1226090,Co5Te6,Co-Te,148,11,215.19290030745515,8.181557430374221,-0.07194367636363701,0.07932191045454201,0.0,2.9695361,2,0,19.562990937041377,0.45454545454545453,0,0,0,0,0,0,1
mp-788,CoTe,Co-Te,194,4,70.18963916973209,8.82596523302224,-0.048279489999998,0.09038063124999901,0.0,0.0061255,0,0,17.547409792433022,0.5,0,1,0,0,0,0,0
mp-1009641,CoTe2,Co-Te,164,3,68.8033664363929,7.581466858828933,-0.16567397,0.019206191666661,0.0,1e-06,0,1,22.934455478797634,0.3333333333333333,0,0,0,0,0,0,1
mp-1103359,CoTe2,Co-Te,205,12,257.5052654876262,8.10283147298891,-0.16129386583333302,0.023586295833329003,0.0,3.8913811,1,1,21.458772123968853,0.3333333333333333,1,0,0,0,0,0,0
mp-9945,CoTe2,Co-Te,58,6,133.87904742648016,7.79256280113331,-0.18488016166666402,0.0,0.0,1.9998752,1,1,22.313174571080026,0.3333333333333333,0,0,0,1,0,0,0
mp-685129,Co17Se20,Co-Se,2,74,1140.8623394253868,7.51354125796344,-0.274566292511259,0.056337090090091003,0.0,9.984608399999999,1,0,15.417058640883607,0.4594594594594595,0,0,0,0,0,1,0
mp-684829,Co27Se32,Co-Se,2,59,915.967969720697,7.465283784000802,-0.27730436474575904,0.054720724237290005,0.0,10.3384498,1,0,15.524880842723679,0.4576271186440678,0,0,0,0,0,1,0
mp-1183684,Co3Se,Co-Se,221,4,45.37025835542168,9.360730971000793,0.251843486640623,0.404886301093748,0.0,0.6610905,1,0,11.34256458885542,0.75,1,0,0,0,0,0,0
mp-11800,Co3Se4,Co-Se,12,7,117.19243222170982,6.9803763019312814,-0.304040632321429,0.045771514999998,0.0,2.371837,1,1,16.74177603167283,0.42857142857142855,0,0,1,0,0,0,0
mp-20456,Co3Se4,Co-Se,227,14,247.9330902955117,6.598935831204135,-0.349812147321427,0.0,0.0,0.0001266,3,1,17.709506449679406,0.42857142857142855,1,0,0,0,0,0,0
mp-22745,Co9Se8,Co-Se,225,17,267.56351391444343,7.212034043477344,-0.199138281323528,0.088942310588233,0.0,7.75e-05,0,0,15.739030230261378,0.5294117647058824,1,0,0,0,0,0,0
mp-426,CoSe,Co-Se,194,4,58.687792314598006,7.80322545064746,-0.171329268072916,0.134756360833332,0.0,0.033807,0,0,14.671948078649502,0.5,0,1,0,0,0,0,0
mp-604908,CoSe,Co-Se,129,4,71.80527544580197,6.3777218566238,-0.18550216203125,0.120583466874998,0.0,0.482307999999999,1,0,17.951318861450492,0.5,0,0,0,0,1,0,0
mp-1390196,CoSe2,Co-Se,227,12,228.7407695139458,6.296965823446243,-0.272248261874999,0.0734303275,0.0,2.03e-05,0,0,19.061730792828815,0.3333333333333333,1,0,0,0,0,0,0
mp-20862,CoSe2,Co-Se,58,6,104.36753164439513,6.900483250700044,-0.345678589375,0.0,0.0,1.9999991,1,1,17.39458860739919,0.3333333333333333,0,0,0,1,0,0,0
mp-22309,CoSe2,Co-Se,205,12,203.67643211583007,7.071867830240545,-0.334087931874999,0.011590657500001001,0.0,3.9991898999999993,1,1,16.973036009652507,0.3333333333333333,1,0,0,0,0,0,0
mp-13446,Co2P,Co-P,189,9,94.76276434363403,7.824430474983884,-0.38518074488095305,0.021158108611109002,0.0,3.8826161,1,1,10.52919603818156,0.6666666666666666,0,1,0,0,0,0,0
mp-22204,Co2P,Co-P,62,12,127.22710368566405,7.770510525345912,-0.40633885349206106,0.0,0.0,4.5759904,1,1,10.602258640472003,0.6666666666666666,0,0,0,1,0,0,0
mp-1213762,Co3P,Co-P,82,16,172.46138987283362,8.002156539411844,-0.257176048869045,0.047578091250001,0.0,11.6229131,1,1,10.778836867052101,0.75,0,0,0,0,1,0,0
mp-22270,CoP,Co-P,62,8,89.8432138222804,6.6468688332074155,-0.500380255238095,0.0,0.0,2e-07,0,1,11.23040172778505,0.5,0,0,0,1,0,0,0
mp-14285,CoP2,Co-P,14,12,154.83268856077132,5.185653188975327,-0.506288872817461,0.0,0.437799999999999,0.0,0,1,12.902724046730944,0.3333333333333333,0,0,1,0,0,0,0
mp-1944,CoP3,Co-P,204,16,226.76869221354147,4.44788556440261,-0.495244297857142,0.0,0.0,0.0,0,1,14.173043263346342,0.25,1,0,0,0,0,0,0
mp-1183728,Co2S3,Co-S,167,10,139.3154050785157,5.102914506050053,-0.48004295168749905,0.014933415000001001,0.0,9.83e-05,0,1,13.93154050785157,0.4,0,0,0,0,0,0,1
mp-684732,Co2S3,Co-S,141,40,602.8439595321713,4.717072073132108,-0.46939558168750106,0.025580784999998003,0.0,1.7624425,1,1,15.071098988304282,0.4,0,0,0,0,1,0,0
mp-1183733,Co3S,Co-S,194,8,90.26433511293399,7.684714069798743,0.256451934765625,0.489732716718748,0.0,9.8793764,1,0,11.283041889116749,0.75,0,1,0,0,0,0,0
mp-943,Co3S4,Co-S,227,14,212.52255835244327,4.767149073118238,-0.5121890544642861,0.0,0.0,5.9407159,1,1,15.180182739460234,0.42857142857142855,1,0,0,0,0,0,0
mp-1513,Co9S8,Co-S,225,17,229.35780232493886,5.697252596911768,-0.439116766029411,0.0,0.0,2e-07,0,1,13.491635430878757,0.5294117647058824,1,0,0,0,0,0,0
mp-1147746,CoS,Co-S,129,4,65.81341856176692,4.591952859758208,-0.37589248890624904,0.084537027916667,0.0,1.1458359,1,0,16.45335464044173,0.5,0,0,0,0,1,0,0
mp-1274,CoS,Co-S,194,4,49.84316697509426,6.063260701836613,-0.27557334911458403,0.18485616770833202,0.0,4.9500000000000004e-05,0,0,12.460791743773566,0.5,0,1,0,0,0,0,0
mp-1042106,CoS2,Co-S,122,6,125.66071986937258,3.252428335131963,-0.13739161187499901,0.317421816666666,0.0,1.94e-05,0,0,20.9434533115621,0.3333333333333333,0,0,0,0,1,0,0
mp-1387852,CoS2,Co-S,166,3,63.347958341712854,3.225853655074376,-0.336298066874999,0.11851536166666601,0.0,0.3546297,1,0,21.115986113904285,0.3333333333333333,0,0,0,0,0,0,1
mp-1390701,CoS2,Co-S,227,12,201.73160206734354,4.051943093970883,-0.35631343937500004,0.09849998916666701,0.0,0.0005963,0,0,16.810966838945294,0.3333333333333333,1,0,0,0,0,0,0
mp-2070,CoS2,Co-S,205,12,168.5685481851701,4.849095401441955,-0.454813428541667,0.0,0.0,4.0000004,1,1,14.047379015430842,0.3333333333333333,1,0,0,0,0,0,0
mp-850049,CoS2,Co-S,61,12,167.9399133832789,4.867246596507061,-0.452915192708333,0.0018982358333330001,0.0,4.0121774,1,1,13.994992781939908,0.3333333333333333,0,0,0,1,0,0,0
mp-571365,Co2Sn,Co-Sn,194,6,82.74751219737539,9.495012657133586,0.15768789333333302,0.22160767722222102,0.0,2.3290159,1,0,13.791252032895898,0.6666666666666666,0,1,0,0,0,0,0
mp-1183774,Co3Sn,Co-Sn,194,8,103.6863851924636,9.465181171788405,0.1127828275,0.16072266541666602,0.0,6.3560713,1,0,12.96079814905795,0.75,0,1,0,0,0,0,0
mp-1226145,Co3Sn,Co-Sn,123,4,52.817018363350385,9.290664745054078,0.21022370374999902,0.258163541666665,0.0,4.0697731,1,0,13.204254590837596,0.75,0,0,0,0,1,0,0
mp-1190274,Co3Sn2,Co-Sn,62,20,300.6487967746747,9.151246376799453,-0.0027221419999990002,0.07398159866666601,0.0,0.041946699999999004,0,0,15.032439838733733,0.6,0,0,0,1,0,0,0
mp-1226032,Co3Sn2,Co-Sn,187,5,78.2483160698315,8.790320834885417,0.058984154000000004,0.135687894666665,0.0,2.3171778,1,0,15.649663213966301,0.6,0,1,0,0,0,0,0
mp-20536,CoSn,Co-Sn,191,6,99.80698048320899,8.866618260115631,-0.09587967583333301,0.0,0.0,2e-07,0,1,16.6344967472015,0.5,0,1,0,0,0,0,0
mp-20155,CoSn2,Co-Sn,140,6,108.31883826652756,9.086250659342552,-0.05180113000000101,0.01292766986111,0.0,0.0,0,1,18.053139711087926,0.3333333333333333,0,0,0,0,1,0,0
mp-1183777,CoSn3,Co-Sn,64,16,330.70997637671036,8.33635148182184,-0.045815538125000006,0.003337823749999,0.0,8e-07,0,1,20.669373523544397,0.25,0,0,0,1,0,0,0
mp-985707,CoSn3,Co-Sn,142,32,676.8834483191839,8.145906384524958,-0.049153361874999,0.0,0.0,0.0118687,0,1,21.152607759974497,0.25,0,0,0,0,1,0,0
mp-1102616,Co2Ge,Co-Ge,62,12,136.009828183683,9.30354246473159,-0.017419259166665,0.030897123333332003,0.0,6.6205707,1,1,11.33415234864025,0.6666666666666666,0,0,0,1,0,0,0
mp-1667,Co2Ge,Co-Ge,194,6,69.67412891010014,9.080653263426093,0.003922618333334,0.052239000833331,0.0,0.373363599999999,1,0,11.612354818350022,0.6666666666666666,0,1,0,0,0,0,0
mp-1226445,Co3Ge2,Co-Ge,187,5,63.836420630360024,8.378065815182266,-5.5336000002625965e-05,0.05792432299999901,0.0,2.9131476,1,0,12.767284126072004,0.6,0,1,0,0,0,0,0
mp-1226010,Co4Ge,Co-Ge,166,5,58.85448198242146,8.700527657672522,0.19767345599999803,0.226663285499999,0.0,6.0732227,1,0,11.770896396484293,0.8,0,0,0,0,0,0,1
mp-1226058,Co4Ge,Co-Ge,123,5,69.58041870238496,7.359326917193376,0.8074949959999981,0.836484825499999,0.0,7.1890066,1,0,13.916083740476992,0.8,0,0,0,0,1,0,0
mp-22732,Co5Ge7,Co-Ge,107,12,186.9034492990549,7.13553052483334,0.5074044600000011,0.5677999381250001,0.0,2.5261294,1,0,15.575287441587909,0.4166666666666667,0,0,0,0,1,0,0
mp-1226096,Co7Ge4,Co-Ge,187,11,134.43886618511928,8.684336402413928,0.021171623636364,0.07388040454545701,0.0,6.3114854,1,0,12.221715107738117,0.6363636363636364,0,1,0,0,0,0,0
mp-10692,CoGe,Co-Ge,198,8,96.03885656592128,9.099751422588541,-0.049292305000001,0.023182268750000002,0.0,5e-07,0,1,12.00485707074016,0.5,1,0,0,0,0,0,0
mp-1079143,CoGe,Co-Ge,12,8,129.05116889864905,6.771962850997993,0.593298122499998,0.665772696249999,0.0,4.3762665,1,0,16.13139611233113,0.5,0,0,1,0,0,0,0
mp-1182234,CoGe,Co-Ge,8,8,112.35398106128707,7.778360084835856,0.155104668749999,0.22757924250000003,0.0,0.0751278,1,0,14.044247632660884,0.5,0,0,1,0,0,0,0
mp-21237,CoGe,Co-Ge,12,8,103.63940110076324,8.432408064668786,-0.072474573750001,0.0,0.0,1e-07,0,1,12.954925137595405,0.5,0,0,1,0,0,0,0
mp-30045,CoGe2,Co-Ge,64,12,169.3037058626698,8.011732205974674,-0.030440754166666,0.017875628333333,0.0,1e-07,0,1,14.108642155222483,0.3333333333333333,0,0,0,1,0,0,0
mp-19905,Co2Si,Co-Si,62,12,125.322678636893,7.735513406677512,-0.331056189166666,0.0,0.0,6.0605087,1,1,10.443556553074417,0.6666666666666666,0,0,0,1,0,0,0
