material_id,formula_pretty,chemsys,crystal_system,spacegroup_number,nsites,energy_above_hull,is_stable
mp-1079254,Co2As,As-Co,Hexagonal,189,9,0.07119013055555501,0
mp-18206,Co2As,As-Co,Hexagonal,189,36,0.05948965388889001,0
mp-22210,Co2As,As-Co,Hexagonal,187,3,0.25330792499999905,0
mp-16316,Co5As2,As-Co,Hexagonal,185,42,0.068808741666666,0
mp-15679,CoAs,As-Co,Hexagonal,194,8,0.030691624999999,1
mp-583,CoAs,As-Co,Orthorhombic,62,8,0.0040441056249980005,1
mp-1018672,CoAs2,As-Co,Orthorhombic,58,6,0.019680610833333,1
mp-2715,CoAs2,As-Co,Monoclinic,14,12,0.0,1
mp-452,CoAs3,As-Co,Cubic,204,16,0.0,1
mp-2644,CoSb,Co-Sb,Hexagonal,194,4,0.05970856333333,0
mp-755,CoSb2,Co-Sb,Monoclinic,14,12,0.030628977777777,1
mp-9835,CoSb2,Co-Sb,Orthorhombic,58,6,0.040569957777776,1
mp-1317,CoSb3,Co-Sb,Cubic,204,16,0.0,1
mp-684822,Co19Te34,Co-Te,Triclinic,2,53,0.004905165660375001,1
mp-1183699,Co3Te,Co-Te,Tetragonal,139,4,0.294969669374999,0
mp-1226090,Co5Te6,Co-Te,Trigonal,148,11,0.07932191045454201,0
mp-788,CoTe,Co-Te,Hexagonal,194,4,0.09038063124999901,0
mp-1009641,CoTe2,Co-Te,Trigonal,164,3,0.019206191666661,1
mp-1103359,CoTe2,Co-Te,Cubic,205,12,0.023586295833329003,1
mp-9945,CoTe2,Co-Te,Orthorhombic,58,6,0.0,1
mp-685129,Co17Se20,Co-Se,Triclinic,2,74,0.056337090090091003,0
mp-684829,Co27Se32,Co-Se,Triclinic,2,59,0.054720724237290005,0
mp-1183684,Co3Se,Co-Se,Cubic,221,4,0.404886301093748,0
mp-11800,Co3Se4,Co-Se,Monoclinic,12,7,0.045771514999998,1
mp-20456,Co3Se4,Co-Se,Cubic,227,14,0.0,1
mp-22745,Co9Se8,Co-Se,Cubic,225,17,0.088942310588233,0
mp-426,CoSe,Co-Se,Hexagonal,194,4,0.134756360833332,0
mp-604908,CoSe,Co-Se,Tetragonal,129,4,0.120583466874998,0
mp-1390196,CoSe2,Co-Se,Cubic,227,12,0.0734303275,0
mp-20862,CoSe2,Co-Se,Orthorhombic,58,6,0.0,1
mp-22309,CoSe2,Co-Se,Cubic,205,12,0.011590657500001001,1
mp-13446,Co2P,Co-P,Hexagonal,189,9,0.021158108611109002,1
mp-22204,Co2P,Co-P,Orthorhombic,62,12,0.0,1
mp-1213762,Co3P,Co-P,Tetragonal,82,16,0.047578091250001,1
mp-22270,CoP,Co-P,Orthorhombic,62,8,0.0,1
mp-14285,CoP2,Co-P,Monoclinic,14,12,0.0,1
mp-1944,CoP3,Co-P,Cubic,204,16,0.0,1
mp-1183728,Co2S3,Co-S,Trigonal,167,10,0.014933415000001001,1
mp-684732,Co2S3,Co-S,Tetragonal,141,40,0.025580784999998003,1
mp-1183733,Co3S,Co-S,Hexagonal,194,8,0.489732716718748,0
mp-943,Co3S4,Co-S,Cubic,227,14,0.0,1
mp-1513,Co9S8,Co-S,Cubic,225,17,0.0,1
mp-1147746,CoS,Co-S,Tetragonal,129,4,0.084537027916667,0
mp-1274,CoS,Co-S,Hexagonal,194,4,0.18485616770833202,0
mp-1042106,CoS2,Co-S,Tetragonal,122,6,0.317421816666666,0
mp-1387852,CoS2,Co-S,Trigonal,166,3,0.11851536166666601,0
mp-1390701,CoS2,Co-S,Cubic,227,12,0.09849998916666701,0
mp-2070,CoS2,Co-S,Cubic,205,12,0.0,1
mp-850049,CoS2,Co-S,Orthorhombic,61,12,0.0018982358333330001,1
mp-571365,Co2Sn,Co-Sn,Hexagonal,194,6,0.22160767722222102,0
mp-1183774,Co3Sn,Co-Sn,Hexagonal,194,8,0.16072266541666602,0
mp-1226145,Co3Sn,Co-Sn,Tetragonal,123,4,0.258163541666665,0
mp-1190274,Co3Sn2,Co-Sn,Orthorhombic,62,20,0.07398159866666601,0
mp-1226032,Co3Sn2,Co-Sn,Hexagonal,187,5,0.135687894666665,0
mp-20536,CoSn,Co-Sn,Hexagonal,191,6,0.0,1
mp-20155,CoSn2,Co-Sn,Tetragonal,140,6,0.01292766986111,1
mp-1183777,CoSn3,Co-Sn,Orthorhombic,64,16,0.003337823749999,1
