idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio,crystal_system
0,Co3Bi2,5,-27.30506706237793,-5.461013412475586,0.0130304852500557,86.39740619682739,converged,0.4,0.2542698860168457,0.261974016825358,False,,,,,,,,,Hexagonal
1,Co5Bi6,11,-56.237022399902344,-5.112456581809304,0.0188928414136171,257.3964990925007,converged,0.5454545454545454,0.127803238955411,0.1383088718761097,False,,,,,,,,,Orthorhombic
2,CoBi,4,-20.7040958404541,-5.176023960113525,0.009345481172204,80.93937857349215,converged,0.5,0.212680697441101,0.2223108609517415,False,,,,,,,,,Tetragonal
3,CoBi,12,-63.07166290283203,-5.255971908569336,0.0187026616185903,257.6204937693248,converged,0.5,0.1327327489852905,0.142362912495931,False,,,,,,,,,Monoclinic
4,CoBi3,8,-36.13154602050781,-4.516443252563477,0.0180701445788145,219.1527870094208,converged,0.75,0.0558148026466369,0.0702600479125976,False,,,,,-58.916482137586485,-21.797630014199108,0.0,0.0,Triclinic
5,Co3Bi4,7,-35.43610382080078,-5.062300545828683,0.0086183585226535,149.70532271927328,converged,0.5714285714285714,0.0931336539132254,0.1041395550682431,False,,,,,-79.72989122014839,-35.706562783281626,0.0,0.0,Monoclinic
6,Co8Bi5,13,-71.45046997070312,-5.496189997746394,0.0184366963803768,258.796328213433,converged,0.3846153846153846,0.2693361685826228,0.2767439866677308,False,,,,,,,,,Trigonal
7,Co2Bi3,5,-24.492958068847656,-4.898591613769531,0.0068701994605362,118.97326893191465,converged,0.6,0.16353440284729,0.1750905990600585,False,,,,,,,,,Orthorhombic
8,CoBi3,16,-73.38725280761719,-4.586703300476074,0.010726423934102,432.86336225220185,converged,0.75,-0.0144452452659606,0.0,True,,,,,-61.34554398628491,-28.40383466229576,0.0,0.0,Cubic
9,Co2Bi,12,-68.1793441772461,-5.681612014770508,0.0144993467256426,191.71104470885905,converged,0.3333333333333333,0.2513903776804606,0.2578104866875543,False,,,,,,,,,Orthorhombic
10,Co2Bi3,10,-49.81525802612305,-4.981525802612305,0.015282928943634,220.25224461576735,converged,0.6,0.0806002140045166,0.0921564102172851,False,,,,,-72.43517598996544,-34.3062357172562,0.0,0.0,Trigonal
11,Co2Bi3,10,-49.81453704833984,-4.981453704833984,0.0139578152447938,219.8243631580732,converged,0.6,0.0806723117828369,0.0922285079956054,False,,,,,-79.75917358266648,-36.53063792725513,0.0,0.0,Trigonal
