idx,formula,n_atoms,e_total_eV,e_per_atom_eV,fmax_eV_A,volume_A3,status,x_B,e_form_eV_atom,e_above_hull_eV_atom,on_hull,dynamically_stable,min_freq_THz,Cv_300K_J_K_mol,free_energy_300K_kJ_mol,bulk_modulus_GPa,shear_modulus_GPa,youngs_modulus_GPa,poisson_ratio,crystal_system
0,Co2Sb3,10,-54.38358688354492,-5.4383586883544925,0.0176506657153368,196.61685227780148,converged,0.6,-0.1960607528686523,0.0491508483886718,False,,,,,,,,,Trigonal
1,Co2Sb,9,-54.15129089355469,-6.0168100992838545,0.0184080619364976,131.5879546601968,converged,0.3333333333333333,0.0162878036499023,0.1761420567830403,False,,,,,,,,,Monoclinic
2,CoSb,8,-46.22894287109375,-5.778617858886719,0.0181776117533445,135.30970343335025,converged,0.5,-0.2397699356079101,1.1444091796875e-05,True,,,,,-141.29108844466128,-68.98979541459471,0.0,0.0,Orthorhombic
3,CoSb3,8,-39.66009521484375,-4.957511901855469,0.0168985947966575,183.70632715368615,converged,0.75,-0.160038948059082,0.0265848636627197,False,,,,,-102.95982807921855,-49.46086802257209,0.0,0.0,Trigonal
4,Co5Sb4,9,-50.87971878051758,-5.6533020867241754,0.0184263586997985,179.10975566892466,converged,0.4444444444444444,0.0502958297729492,0.2634348339504666,False,,,,,,,,,Monoclinic
5,CoSb,8,-46.228904724121094,-5.778613090515137,0.0188856720924377,135.2923230976053,converged,0.5,-0.2397651672363281,1.621246337890625e-05,True,,,,,-121.46617334229842,-63.24629518412013,0.0,0.0,Hexagonal
6,Co3Sb2,5,-29.507488250732425,-5.901497650146484,0.0050111189484596,83.52327930407826,converged,0.4,-0.066099739074707,0.1257253646850586,False,,,,,,,,,Tetragonal
7,Co3Sb4,7,-38.64045333862305,-5.520064762660435,0.0165013596415519,133.26380873975452,converged,0.5714285714285714,-0.1930382592337472,0.0506218501499721,False,,,,,,,,,Monoclinic
8,CoSb2,12,-63.52115631103515,-5.293429692586263,0.0204946547746658,251.1482015062416,max_steps,0.6666666666666666,-0.2488317489624023,0.0,True,,,,,-111.66074344469656,-58.56850744581867,0.0,0.0,Orthorhombic
9,Co7Sb4,11,-65.2463607788086,-5.931487343528054,0.018955172970891,168.13670186737144,converged,0.3636363636363636,0.0117469267411665,0.1861333847045898,False,,,,,,,,,Orthorhombic
10,CoSb,8,-46.229034423828125,-5.778629302978516,0.0123426355421543,135.24547117939247,converged,0.5,-0.239781379699707,0.0,True,,,,,-126.04338743034396,-62.376194182723225,0.0,0.0,Orthorhombic
11,Co2Sb3,5,-26.489198684692383,-5.297839736938476,0.0111575843766331,105.89349974932678,converged,0.6,-0.0555418014526367,0.1896697998046875,False,,,,,,,,,Orthorhombic
