chemsys,auid,compound,spacegroup_relax,pearson,enthalpy_formation_atom,enthalpy_atom,band_gap,neg_formation_energy
Bi-Co,aflow:00bca2b919a0d2ff,Bi2Co4,12,mS12,0.383144,-5.70175,,False
Bi-Co,aflow:01a5c2094b788682,Bi4Co4,194,hP8,0.854201,-4.71876,,False
Bi-Co,aflow:0304d2b3e06769c3,Bi1Co2,164,hP3,0.495403,-5.58949,,False
Bi-Co,aflow:03a15ec7caf10de6,Bi1Co5,12,mS12,0.280492,-6.31633,,False
Bi-Co,aflow:0474363050d757b6,Bi6Co10,193,hP16,0.504419,-5.45249,,False
Bi-Co,aflow:079b48761cec192d,Bi1Co3,25,oP4,0.503775,-5.83709,,False
Bi-Co,aflow:09b590b7d155d814,Bi10Co8,193,hP18,0.557596,-4.84472,,False
Bi-Co,aflow:09ddbb5662254e5e,Bi3Co2,166,hR5,0.307647,-4.95815,,False
Bi-Co,aflow:0a52f0cf103069cc,Bi3Co9,166,hR4,0.456968,-5.88389,,False
Bi-Co,aflow:0a3c3d5565882d03,Bi2Co2,166,hR4,0.508379,-5.06458,,False
Bi-Co,aflow:0c17f5fe4f029df1,Bi3Co4,191,hP7,1.03426,-4.7581,,False
Bi-Co,aflow:0c3dee2e3c7f0da3,Bi1Co3,139,tI8,0.41647,-5.92439,,False
Bi-Co,aflow:0f3070385a2b405a,Bi12Co4,62,oP16,,-3.86625,0.0,False
Bi-Co,aflow:11d1c803a97366e7,Bi2Co4,194,hP6,0.501762,-5.58313,,False
Bi-Co,aflow:112a8706a6af8d12,Bi4Co2,194,hP6,0.491162,-4.56986,,False
Bi-Co,aflow:126277385d08b163,Bi2Co6,59,oP8,0.339321,-6.00154,,False
Bi-Co,aflow:12d53597dd24a6b2,Bi5Co1,216,cF24,0.870462,-3.67863,,False
Bi-Co,aflow:185ed6c5ca79a94f,Bi2Co2,74,oI8,0.350336,-5.22262,,False
Bi-Co,aflow:1923f6523c72b689,Bi2Co4,227,cF24,0.444279,-5.64061,,False
Bi-Co,aflow:1911ce12169fe6a8,Bi4Co2,58,oP6,0.110297,-4.95073,,False
Bi-Co,aflow:197cc5d7e665656c,Bi4Co4,62,oP8,0.310224,-5.26274,,False
Bi-Co,aflow:19fafb3c0519b6a4,Bi3Co5,65,oS16,0.516397,-5.44051,,False
Bi-Co,aflow:1a57d98109a8d0ee,Bi6Co3,189,hP9,0.320395,-4.74063,,False
Bi-Co,aflow:1ba5da9e0605410c,Bi1Co3,123,tP4,0.453874,-5.88699,,False
Bi-Co,aflow:1cecbcbb0983af53,Bi2Co6,223,cP8,0.491491,-5.84937,,False
Bi-Co,aflow:1eb72647427de633,Bi4Co1,139,tI10,0.944597,-3.70688,,False
Bi-Co,aflow:1e328c30bb408642,Bi1Co3,123,tP4,0.452797,-5.88806,,False
Bi-Co,aflow:1e0f6aac8332b174,Bi2Co2,164,hP4,0.356793,-5.21617,,False
Bi-Co,aflow:1ebef8561c8940ca,Bi2Co4,194,hP6,0.50172,-5.58317,,False
Bi-Co,aflow:1f705ed5dc68bb28,Bi7Co1,225,cF32,0.435653,-3.98546,,False
Bi-Co,aflow:21b95a13f71ce727,Bi1Co1,225,cF8,0.534459,-5.0385,,False
Bi-Co,aflow:2270c5a554b3a326,Bi3Co3,44,oI12,0.318799,-5.25416,,False
Bi-Co,aflow:248985edb132b405,Bi2Co1,164,hP3,0.19533,-4.8657,,False
Bi-Co,aflow:2582012c9a131514,Bi2Co2,221,cP2,0.509913,-5.06305,,False
Bi-Co,aflow:2613c191d86beb26,Bi1Co2,71,oI6,0.547145,-5.53775,,False
Bi-Co,aflow:26380dc3daed882c,Bi1Co3,221,cP4,0.44442,-5.89644,,False
Bi-Co,aflow:27f1d285e6f90ec2,Bi2Co4,63,oS12,0.292378,-5.79252,,False
Bi-Co,aflow:280ced168aa44a41,Bi2Co1,225,cF12,0.210295,-4.85073,,False
Bi-Co,aflow:2afb0a4f2528c6f2,Bi2Co2,59,oP4,0.501058,-5.0719,,False
Bi-Co,aflow:2b326f708505e6fc,Bi2Co2,141,tI8,0.64013,-4.93283,,False
Bi-Co,aflow:2e41db8745527a9f,Bi2Co2,63,oS8,0.275902,-5.29706,,False
Bi-Co,aflow:30448a8ba82e0802,Bi2Co2,63,oS8,0.275959,-5.297,,False
Bi-Co,aflow:315c71a5875e19da,Bi5Co1,38,oS12,0.350303,-4.19879,,False
Bi-Co,aflow:3354931bd5ff0431,Bi2Co1,139,tI6,0.19057,-4.87046,,False
Bi-Co,aflow:34fd589f8061d3b0,Bi2Co1,123,tP3,0.410999,-4.65003,,False
Bi-Co,aflow:35c3620334791192,Bi1Co2,139,tI6,0.510142,-5.57475,,False
Bi-Co,aflow:37707d523e8669c6,Bi2Co2,166,hR4,0.162387,-5.41057,,False
Bi-Co,aflow:3a7daa20d7440526,Bi2Co2,194,hP4,0.205353,-5.36761,,False
Bi-Co,aflow:3c6251578e59f7ed,Bi2Co2,63,oS8,0.278907,-5.29405,,False
Bi-Co,aflow:3dc3c704e22a4c90,Bi1Co5,65,oS12,0.268237,-6.32859,,False
Bi-Co,aflow:3f6bd4a370168364,Bi2Co4,63,oS12,0.415419,-5.66947,,False
Bi-Co,aflow:4025a89f9a15ee7d,Bi3Co1,187,hP4,0.254112,-4.55095,,False
Bi-Co,aflow:4110ab3f862b0dc7,Bi2Co1,164,hP3,0.209762,-4.85126,,False
Bi-Co,aflow:4220bf064e6bdab4,Bi1Co2,191,hP3,0.47808,-5.60681,,False
Bi-Co,aflow:4325d73c99d2d8c2,Bi5Co1,8,mS12,0.166106,-4.38299,,False
Bi-Co,aflow:4399f654f9e61280,Bi6Co2,63,oS16,0.228562,-4.5765,,False
Bi-Co,aflow:439bf6b9265037ee,Bi4Co2,141,tI12,0.211524,-4.8495,,False
Bi-Co,aflow:43391879903f55f7,Bi4Co8,69,oF12,0.512565,-5.57233,,False
Bi-Co,aflow:44898e0b2e062cef,Bi4Co2,140,tI12,0.251804,-4.80922,,False
Bi-Co,aflow:4758eab2096ea4ba,Bi2Co4,71,oI12,0.338751,-5.74614,,False
Bi-Co,aflow:493e0983d107b45f,Bi4Co4,194,hP8,0.161246,-5.41171,,False
Bi-Co,aflow:4ad506b5aa31b111,Bi2Co2,63,oS8,0.275966,-5.29699,,False
Bi-Co,aflow:4bf3fc84913fde99,Bi18Co6,194,hP24,0.608192,-4.19687,,False
Bi-Co,aflow:4b77001f27cde899,Bi1Co2,191,hP3,0.478756,-5.60614,,False
Bi-Co,aflow:51c5636fe87f9b00,Bi8Co10,193,hP18,0.62127,-5.12233,,False
Bi-Co,aflow:529d674c26c20a06,Bi2Co1,69,oF12,3.49551,-1.56551,,False
Bi-Co,aflow:53970ec1cf12383e,Bi2Co4,140,tI12,0.448387,-5.63651,,False
Bi-Co,aflow:5517d7504603a3d4,Bi3Co2,164,hP5,0.313171,-4.95263,,False
Bi-Co,aflow:5594844b36862009,Bi4Co2,12,mS12,0.197987,-4.86304,,False
Bi-Co,aflow:569e68634ece23d1,Bi2Co2,129,tP4,0.260563,-5.3124,,False
Bi-Co,aflow:56c6cd490057af41,Bi4Co2,8,mS12,0.329636,-4.73139,,False
Bi-Co,aflow:568c4b3df93a4f64,Bi3Co1,65,oS8,0.604505,-4.20056,,False
Bi-Co,aflow:5645de71b4f3bd70,Bi3Co1,71,oI8,0.248631,-4.55643,,False
Bi-Co,aflow:5736b25724ca8615,Bi4Co6,43,oF40,0.405133,-5.47499,,False
Bi-Co,aflow:573e96dba2bac949,Bi2Co1,164,hP3,0.205544,-4.85548,,False
Bi-Co,aflow:574595e325163d98,Bi2Co2,129,tP4,0.257007,-5.31595,,False
Bi-Co,aflow:58916460e3cc22b6,Bi1Co3,221,cP4,1.96551,-4.37535,,False
Bi-Co,aflow:5829facb345ed174,Bi2Co2,166,hR4,0.163458,-5.4095,,False
Bi-Co,aflow:5896ebb933835059,Bi2Co4,12,mS12,0.416124,-5.66877,,False
Bi-Co,aflow:591141a990ee4180,Bi6Co2,59,oP8,0.450489,-4.35457,,False
Bi-Co,aflow:5abd30d7a07e9549,Bi1Co5,65,oS12,0.267588,-6.32924,,False
Bi-Co,aflow:5cc6e6bf11d45545,Bi1Co2,225,cF12,0.67663,-5.40826,,False
Bi-Co,aflow:5d953783c0bad66c,Bi5Co1,191,hP6,0.886619,-3.66247,,False
Bi-Co,aflow:5e1430a5f0d8a789,Bi2Co4,63,oS12,0.156689,-5.9282,,False
Bi-Co,aflow:5edce4a5ccd77c61,Bi1Co5,191,hP6,0.361065,-6.23576,,False
Bi-Co,aflow:5fa64d8c035d4bbb,Bi2Co2,63,oS8,0.268342,-5.30462,,False
Bi-Co,aflow:610e63d316532d28,Bi3Co1,44,oI8,0.210227,-4.59483,,False
Bi-Co,aflow:61efacbb982be32d,Bi4Co2,194,hP6,0.486237,-4.57479,,False
Bi-Co,aflow:61d80a7c4827a2b4,Bi1Co3,123,tP4,0.453378,-5.88748,,False
Bi-Co,aflow:625b7058094f65c6,Bi2Co6,194,hP8,0.392427,-5.94843,,False
Bi-Co,aflow:650f9aa42cf5e2a2,Bi4Co2,191,hP3,0.861939,-4.19909,,False
Bi-Co,aflow:659f7e7dc26797d3,Bi1Co3,221,cP4,0.443149,-5.89771,,False
Bi-Co,aflow:670f7b5b530c8361,Bi4Co2,227,cF24,1.24239,-3.81864,,False
Bi-Co,aflow:690448d3a9fb96a8,Bi2Co4,58,oP6,0.521071,-5.56382,,False
Bi-Co,aflow:69083a1b67d1563a,Bi8Co4,69,oF12,0.210863,-4.85016,,False
Bi-Co,aflow:6981e7770ec95d22,Bi1Co2,139,tI6,0.51023,-5.57466,,False
Bi-Co,aflow:695a433e24674f01,Bi2Co2,194,hP4,0.575293,-4.99767,,False
Bi-Co,aflow:6a3207df9eb2bb3e,Bi16Co8,194,hP24,1.38909,-3.67193,,False
