chemsys,jid,formula,formation_energy_peratom,ehull,is_stable,spg_number,spg_symbol,band_gap
Ni-Si,JVASP-90627,SiNi,-0.28064,0.1465,False,198,P2_13,0.0
Bi-Co,JVASP-37946,Co3Bi,0.44331,0.4519,False,139,I4/mmm,0.0
Co-Te,JVASP-28353,CoTe2,-0.19234,0.0124,False,164,P-3m1,0.0
Si-Ti,JVASP-15734,TiSi,-0.69215,0.0,True,62,Pnma,0.0
Bi-Mn,JVASP-5170,MnBi,0.52785,0.5279,False,194,P6_3/mmc,0.0
Hf-N,JVASP-15075,HfN,-1.92482,0.0,True,225,Fm-3m,0.0
N-Ta,JVASP-89916,Ta2N,-0.99844,0.0,True,162,P-31m,0.0
N-Ta,JVASP-14878,TaN,-0.98618,0.3344,False,225,Fm-3m,0.0
Co-Se,JVASP-12148,CoSe,-0.25744,0.0241,False,129,P4/nmm,0.0
N-Zr,JVASP-49777,Zr3N4,-1.71924,0.0238,False,166,R-3m,1.124
Hf-N,JVASP-50336,Hf3N4,-1.84214,0.0262,False,227,Fd-3m,0.974
Ni-Si,JVASP-86336,SiNi2,-0.47403,0.0,True,62,Pnma,0.0
Co-Te,JVASP-19832,CoTe,-0.03209,0.1243,False,194,P6_3/mmc,0.0
Co-Te,JVASP-541,CoTe2,-0.19224,0.0125,False,164,P-3m1,0.0
Ni-Si,JVASP-85837,SiNi2,-0.47403,0.0,True,62,Pnma,0.0
N-Ti,JVASP-14922,Ti2N,-1.39649,0.0195,False,141,I4_1/amd,0.0
Si-Ti,JVASP-14968,TiSi2,-0.43878,0.0269,False,70,Fddd,0.0
N-Zr,JVASP-49789,Zr3N4,-1.71994,0.0232,False,227,Fd-3m,0.673
Bi-Mn,JVASP-56072,MnBi,0.27758,0.2776,False,194,P6_3/mmc,0.0
Si-Ti,JVASP-95036,TiSi2,-0.46567,0.0,True,63,Cmcm,0.0
Co-Se,JVASP-14710,CoSe,-0.1505,0.131,False,194,P6_3/mmc,0.0
Co-Te,JVASP-93376,CoTe2,-0.16877,0.036,False,58,Pnnm,0.0
Co-Sb,JVASP-99257,CoSb2,-0.14516,0.0074,True,58,Pnnm,0.0
Hf-N,JVASP-106069,Hf3N2,-1.60861,0.0,True,166,R-3m,0.0
N-Ti,JVASP-107996,Ti3N2,-1.5966,0.0151,False,167,R-3c,0.0
N-Ta,JVASP-93692,TaN,-1.32058,0.0,True,189,P-62m,0.0
Ni-Si,JVASP-14672,SiNi,-0.42716,0.0,True,62,Pnma,0.0
N-Ta,JVASP-103047,Ta3N,-0.51906,0.2298,False,164,P-3m1,0.0
N-Ta,JVASP-103049,Ta4N3,-1.05428,0.1282,False,139,I4/mmm,0.0
Co-Si,JVASP-14893,CoSi,-0.49735,0.0,True,198,P2_13,0.0
Co-Te,JVASP-16210,CoTe2,-0.16864,0.0361,False,58,Pnnm,0.0
Hf-N,JVASP-49807,Hf3N4,-1.7928,0.0756,False,166,R-3m,1.16
Ni-Si,JVASP-14749,SiNi2,-0.42304,0.051,False,194,P6_3/mmc,0.0
Co-Sb,JVASP-14996,CoSb,-0.13153,0.0,True,194,P6_3/mmc,0.0
Si-Ti,JVASP-102572,Ti3Si,-0.43478,0.0358,False,194,P6_3/mmc,0.0
N-Ti,JVASP-16036,Ti2N,-1.41598,0.0,True,136,P4_2/mnm,0.0
Ni-Si,JVASP-19853,SiNi3,-0.39467,0.0132,False,221,Pm-3m,0.0
Hf-N,JVASP-8764,Hf4N3,-1.65015,0.0488,False,139,I4/mmm,0.0
N-Ta,JVASP-56514,TaN,-0.00738,1.3132,False,191,P6/mmm,0.0
Hf-N,JVASP-79231,HfN,-1.89471,0.0301,False,194,P6_3/mmc,0.0
Co-Sb,JVASP-1088,CoSb3,-0.15612,0.0,True,204,Im-3,0.066
Hf-N,JVASP-43499,Hf3N4,-1.86835,0.0,True,62,Pnma,1.094
Bi-Mn,JVASP-78832,MnBi,0.27764,0.2776,False,194,P6_3/mmc,0.0
Si-Ti,JVASP-36225,Ti2Si,0.28783,0.9153,False,216,F-43m,0.0
N-Zr,JVASP-36667,ZrN,-1.59607,0.3436,False,194,P6_3/mmc,0.0
N-Ta,JVASP-36234,TaN2,-0.58341,0.4895,False,187,P-6m2,0.0
N-Zr,JVASP-80467,ZrN,-1.88948,0.0502,False,194,P6_3/mmc,0.0
Hf-N,JVASP-36325,HfN2,-0.87346,0.5831,False,187,P-6m2,0.0
N-Zr,JVASP-13861,ZrN,-1.7603,0.1794,False,194,P6_3/mmc,0.0
N-Zr,JVASP-36536,Zr2N,-1.35801,0.0,True,136,P4_2/mnm,0.0
Si-Ti,JVASP-14102,TiSi,-0.45663,0.2355,False,65,Cmmm,0.0
Co-Se,JVASP-12449,Co9Se8,-0.27351,0.0,True,225,Fm-3m,0.0
Hf-N,JVASP-35988,HfN,-0.95384,0.971,False,221,Pm-3m,0.0
N-Ta,JVASP-36416,TaN,-0.52816,0.7924,False,221,Pm-3m,0.0
N-Ta,JVASP-36418,TaN,-0.81194,0.5086,False,216,F-43m,0.0
N-Zr,JVASP-36421,ZrN,-1.05984,0.8798,False,221,Pm-3m,0.0
N-Zr,JVASP-36423,ZrN,-1.55991,0.3798,False,187,P-6m2,0.0
Hf-N,JVASP-35996,HfN,-1.63242,0.2924,False,216,F-43m,0.0
N-Zr,JVASP-36427,ZrN,-1.58152,0.3581,False,216,F-43m,0.0
