system,n_mp_entries,n_stable_mp,n_unique_stoich,min_energy_above_hull,stable_formulas,stable_spacegroups,has_zero_stable_phases,microelectronics_tag,void_score,neighbour_stable_count,void_score_adj,aflow_n_entries,aflow_n_neg_fe,aflow_n_unique_compounds,aflow_min_hf,aflow_neg_fe_compounds,aflow_pearson_types,total_db_entries,total_stable_or_neg,combined_void_score,combined_void_score_adj
Bi-Co,2,0,2,0.047421941249999,(none),(none),True,,6.0,4,8.0,216,0,47,0.0974158,(none),"cF12, cF16, cF24, cF32, cF8, cF96, cI40, cP12, cP2, cP4, cP8, hP12, hP16, hP18, hP2, hP24, hP3, hP4, hP5, hP6, hP7, hP8, hP9, hR4, hR5, mS12, mS8, oF12, oF40, oI12, oI6, oI8, oP12, oP16, oP24, oP4, oP6, oP8, oS12, oS16, oS8, tI10, tI12, tI16, tI18, tI6, tI8, tP3, tP4, tP6",218,0,4.0,6.0
Bi-W,0,0,0,,(none),(none),True,,7.0,0,7.0,182,0,31,0.343165,(none),"cF12, cF16, cF24, cF32, cP12, cP2, cP4, cP8, hP16, hP2, hP3, hP4, hP5, hP6, hP7, hP8, hR2, hR4, mP4, mS12, mS6, mS8, oF40, oI12, oI4, oI8, oP12, oP16, oP24, oP4, oP6, oP8, oS12, oS16, oS4, oS8, tI10, tI12, tI18, tI6, tI8, tP3, tP4, tP6",182,0,4.0,4.0
Bi-Ru,0,0,0,,(none),(none),True,,7.0,0,7.0,200,0,40,0.0671542,(none),"cF12, cF16, cF24, cF32, cF8, cF96, cI40, cP12, cP2, cP4, cP8, hP12, hP16, hP18, hP2, hP3, hP4, hP5, hP6, hP7, hP8, hP9, hR2, hR4, hR5, mP4, mS12, mS6, mS8, oF12, oF40, oI12, oI6, oI8, oP12, oP16, oP4, oP6, oP8, oS12, oS16, oS8, tI10, tI12, tI16, tI18, tI6, tI8, tP2, tP3, tP4, tP6",200,0,4.0,4.0
Bi-Fe,0,0,0,,(none),(none),True,,7.0,0,7.0,202,0,40,0.188578,(none),"cF12, cF16, cF24, cF32, cF8, cF96, cI40, cP12, cP2, cP4, cP8, hP12, hP16, hP18, hP2, hP24, hP3, hP4, hP5, hP6, hP7, hP8, hP9, hR2, hR4, hR5, mP4, mS12, mS8, oF12, oF40, oI8, oP12, oP16, oP4, oP6, oP8, oS12, oS16, oS8, tI10, tI12, tI16, tI18, tI6, tI8, tP2, tP3, tP4, tP6",202,0,4.0,4.0
Co-Si,6,3,5,0.0,"Co2Si, CoSi, CoSi2","Fm-3m, P2_13, Pnma",False,silicide/contact,2.0,5,4.5,217,141,46,-1.30308,"Co10Si6, Co10Si8, Co12Si12, Co12Si17, Co12Si4, Co16Si8, Co17Si12, Co18Si6, Co1Si1, Co1Si2, Co2Si1, Co2Si2, Co2Si3, Co2Si4, Co3Si1, Co3Si2, Co3Si3, Co3Si5, Co3Si6, Co4Si1, Co4Si12, Co4Si2, Co4Si3, Co4Si4, Co4Si8, Co5Si1, Co5Si4, Co6Si10, Co6Si2, Co6Si3, Co6Si6, Co7Si1, Co7Si6, Co8Si10, Co8Si16, Co8Si4","cF12, cF16, cF24, cF32, cF8, cF96, cI10, cI40, cI58, cP2, cP4, cP8, hP12, hP16, hP18, hP2, hP24, hP3, hP4, hP5, hP6, hP7, hP8, hP9, hR13, hR2, hR4, hR5, mP4, mS12, mS8, oF12, oI12, oI6, oI8, oP12, oP16, oP24, oP4, oP6, oP8, oS12, oS16, oS4, oS8, tI10, tI12, tI14, tI16, tI18, tI24, tI6, tI8, tP2, tP20, tP3, tP4, tP6",223,144,1.0,3.5
Bi-Mn,6,0,3,0.207830463534477,(none),(none),True,,4.0,0,4.0,182,0,32,0.18888,(none),"cF12, cF16, cF24, cF32, cF8, cP12, cP2, cP4, cP8, hP12, hP16, hP2, hP3, hP4, hP5, hP6, hP7, hP8, hP9, hR2, hR4, hR5, mP4, mS12, mS8, oF12, oF40, oI12, oI6, oI8, oP12, oP16, oP4, oP6, oP8, oS12, oS16, oS4, oS8, tI10, tI12, tI16, tI18, tI6, tI8, tP2, tP3, tP4, tP6",188,0,3.0,3.0
Bi-Mo,4,0,4,0.32148761315789903,(none),(none),True,,5.0,0,5.0,221,0,46,0.18831,(none),"cF12, cF16, cF24, cF32, cF8, cF96, cI40, cP12, cP2, cP4, cP8, hP12, hP16, hP18, hP2, hP24, hP3, hP4, hP5, hP6, hP7, hP8, hP9, hR2, hR4, hR5, mP4, mS12, mS6, mS8, oF12, oF40, oI12, oI8, oP12, oP16, oP24, oP4, oP6, oP8, oS12, oS16, oS4, oS8, tI10, tI12, tI16, tI18, tI6, tI8, tP3, tP4, tP6",225,0,3.0,3.0
N-Ti,16,2,8,0.0,"Ti2N, TiN","Fm-3m, P4_2/mnm",False,nitride/barrier,1.0,4,3.0,149,121,31,-1.73031,"N10Ti6, N12Ti4, N1Ti1, N1Ti2, N1Ti3, N1Ti4, N1Ti8, N2Ti1, N2Ti2, N2Ti3, N2Ti4, N2Ti6, N3Ti2, N3Ti3, N3Ti4, N3Ti6, N4Ti12, N4Ti2, N4Ti3, N4Ti4, N4Ti6, N4Ti8, N5Ti4, N6Ti2, N6Ti4, N6Ti9, N8Ti4, N8Ti6, N8Ti8","cF12, cF16, cF56, cF8, cI28, cI32, cP12, cP2, cP4, cP5, cP6, cP7, hP10, hP16, hP2, hP3, hP4, hP5, hP6, hP8, hP9, hR10, hR3, hR4, hR5, mP12, mP14, mP16, mP6, mS12, mS16, mS30, mS8, oI12, oI16, oP12, oP16, oP6, oS12, oS16, oS32, oS8, tI10, tI12, tI14, tI16, tI18, tI32, tI6, tP2, tP4, tP6, tP8",165,123,1.0,3.0
Si-Ti,14,4,7,0.0,"Ti5Si3, Ti5Si4, TiSi, TiSi2","Cmcm, P4_12_12, P6_3/mcm, Pnma",False,silicide/contact,2.0,3,3.5,187,139,43,-0.792927,"Si10Ti6, Si10Ti8, Si12Ti4, Si16Ti20, Si16Ti8, Si1Ti1, Si1Ti2, Si1Ti3, Si1Ti5, Si2Ti1, Si2Ti2, Si2Ti3, Si2Ti4, Si2Ti6, Si3Ti1, Si3Ti3, Si3Ti4, Si3Ti5, Si4Ti12, Si4Ti2, Si4Ti3, Si4Ti4, Si4Ti6, Si4Ti8, Si5Ti3, Si5Ti4, Si6Ti10, Si6Ti2, Si6Ti4, Si6Ti6, Si6Ti7, Si7Ti6, Si8Ti10, Si8Ti16, Si8Ti24, Si8Ti4","cF12, cF16, cF24, cF32, cF8, cF96, cI10, cI40, cI58, cP12, cP2, cP4, cP8, hP12, hP16, hP18, hP2, hP24, hP3, hP4, hP6, hP7, hP8, hR13, hR2, hR4, hR5, mP4, mS12, mS8, oF12, oF24, oF40, oF48, oI12, oI6, oI8, oP16, oP4, oP6, oP8, oS12, oS16, oS4, oS8, tI10, tI12, tI14, tI18, tI24, tI32, tI6, tI8, tP2, tP32, tP36, tP4, tP6",201,143,1.0,2.5
N-Ta,28,3,9,0.0,"Ta2N, Ta3N5, TaN","Cmcm, P-31m, P-62m",False,nitride/barrier,1.0,3,2.5,164,100,32,-1.18567,"N10Ta6, N1Ta1, N1Ta2, N1Ta3, N1Ta4, N1Ta8, N2Ta1, N2Ta2, N2Ta3, N2Ta4, N2Ta6, N3Ta1, N3Ta2, N3Ta3, N3Ta4, N3Ta6, N4Ta12, N4Ta2, N4Ta3, N4Ta4, N4Ta6, N4Ta8, N5Ta4, N6Ta4, N6Ta9, N8Ta4, N8Ta6, N8Ta8","cF12, cF16, cF56, cF8, cI28, cI32, cP12, cP2, cP4, cP5, cP6, cP7, hP10, hP16, hP2, hP22, hP3, hP4, hP5, hP6, hP8, hP9, hR10, hR3, hR4, hR5, mP12, mP14, mP16, mP6, mS12, mS16, mS30, mS8, oI12, oI16, oP12, oP16, oP6, oP8, oS12, oS16, oS32, oS8, tI10, tI12, tI14, tI16, tI18, tI32, tI6, tP4, tP6, tP8",192,103,1.0,2.5
