chemsys,material_id,formula,composition_reduced,energy_above_hull,formation_energy_per_atom,is_stable,spacegroup,spacegroup_number,nsites,volume,density,band_gap
Bi-Co,mp-985280,Co3Bi,Co3 Bi1,0.426736236249999,0.426736236249999,False,I4/mmm,139,4,56.13702724696654,11.411411818916328,0.0
Bi-Co,mp-1105522,CoBi3,Co1 Bi3,0.047421941249999,0.047421941249999,False,Pnma,62,16,429.75799928164946,10.600581998072151,0.0
Bi-Ni,mp-976799,Ni3Bi,Ni3 Bi1,0.17344036671875002,0.17344036671875002,False,Pm-3m,221,4,55.83087500992584,11.45259086831004,0.0
Bi-Ni,mp-1220533,NiBi,Ni1 Bi1,0.034478611250001005,0.034478611250001005,False,Cm,8,32,622.2082825466019,11.429813828541812,0.0
Bi-Ni,mp-22861,NiBi,Ni1 Bi1,0.30273572343750005,0.30273572343750005,False,P6_3/mmc,194,4,80.9455233409639,10.98227014069688,0.0
Bi-Ni,mp-999318,NiBi,Ni1 Bi1,0.026048007500001,0.026048007500001,False,P6_3/mmc,194,4,77.01005986218743,11.543499714211228,0.0
Bi-Ni,mp-23179,NiBi3,Ni1 Bi3,0.036121234374995,0.036121234374995,False,Pnma,62,16,433.7177428646935,10.500128781384422,0.0
Bi-Mn,mp-623452,Mn3Bi,Mn3 Bi1,0.393624719051722,0.393624719051722,False,I4/mmm,139,4,68.7371963805661,9.030051572260083,0.0
Bi-Mn,mp-669332,Mn3Bi,Mn3 Bi1,0.6299638315517231,0.6299638315517231,False,R-3m,166,16,311.564154029129,7.968829792801517,0.0
Bi-Mn,mp-1221736,MnBi,Mn1 Bi1,0.21875650478447903,0.21875650478447903,False,Pmma,51,8,182.03778304235047,9.62980060500664,0.0
Bi-Mn,mp-22878,MnBi,Mn1 Bi1,0.44906315603448305,0.44906315603448305,False,P6_3/mmc,194,4,101.92822383004689,8.599127343758049,0.0
Bi-Mn,mp-568382,MnBi,Mn1 Bi1,0.207830463534477,0.207830463534477,False,P6_3/mmc,194,4,92.83816995746125,9.441092785858007,0.0
Bi-Mn,mp-1185989,MnBi3,Mn1 Bi3,0.39517754551724205,0.39517754551724205,False,Pm-3m,221,4,114.21740831084504,9.9134373802693,0.0
Co-Sb,mp-2644,CoSb,Co1 Sb1,0.05970856333333,-0.038880820000002,False,P6_3/mmc,194,4,66.00239566445079,9.092036928225594,0.0
