chemsys,entry_id,origin,formula,spg_number,spg_symbol,strukturbericht,prototype_formula,is_unique_to_nomad
Bi-Co,-36ngOGZEMSb8xxgwHTXzi3Kq0JC,AFLOW,Bi2Co4,227.0,Fd-3m,C15,Cu2Mg,False
Bi-Co,-7edtVkuHUvfkoTnGZG1bJOCldS2,OQMD,Bi3Co,221.0,Pm-3m,L12,AuCu3,False
Bi-Co,-GoJPpSUhrCQEdQc2XkKE5WaQlJe,AFLOW,Bi4Co8,205.0,Pa-3,C2,FeS2,False
Bi-Co,-TVbQFIFkI7U38VaMzEo0EP_3Dc1,AFLOW,Bi2Co2,74.0,Imma,,,False
Bi-Co,-ZIZe1iNt2TRlNhVGkTTZbYweHJT,AFLOW,Bi2Co6,139.0,I4/mmm,D023,Al3Zr,False
Bi-Co,-e-dtOStnBwDM3-gIQX2N8xzJQPT,AFLOW,Bi4Co2,194.0,P6_3/mmc,,,False
Bi-Co,-pqsnwz4QItgMOt5iR0I7DW6k3Ev,AFLOW,BiCo5,216.0,F-43m,C15b,AuBe5,False
Bi-Co,-vy0xVP-iwwl-Vh-w0BmyTdmWpU_,AFLOW,Bi5Co,8.0,Cm,,,False
Bi-Co,-ysX5UOcPRi8FafjAByyTCqiwVgt,OQMD,BiCo,221.0,Pm-3m,B2,ClCs,False
Bi-Co,06g_e3ThTAMSxwVhdJ6C21kdT57m,AFLOW,BiCo2,139.0,I4/mmm,C11b,MoSi2,False
Bi-Co,0B5dF2tmxzVTT_UYg9QOfgZvS9GG,AFLOW,BiCo2,71.0,Immm,,MoPt2,False
Bi-Co,0EmH6Ka9LhIGOMXPI7OZi0UC3Pd3,AFLOW,Bi5Co,38.0,Amm2,,,False
Bi-Co,0S9NDGkMFnOC9f54Taby6i42GMpu,AFLOW,Bi4Co2,141.0,I4_1/amd,C5,O2Ti,False
Bi-Co,0aIbyryzSYLt135Vh3vVsrlRfhNC,AFLOW,Bi2Co2,194.0,P6_3/mmc,B81,AsNi,False
Bi-Co,0eLmd6Nv2_CrngBvC_zqKLXOCeV6,OQMD,Bi3Co,139.0,I4/mmm,,,False
Bi-Co,0l4CvcmF47yAvidD2kABJJRHDloq,OQMD,BiCo3,221.0,Pm-3m,L12,AuCu3,False
Bi-Co,0rUz9ut228JuVBeuTPmHxbb30GSl,OQMD,Bi3Co,,,,,False
Bi-Co,0tjqJMSuJFued04RjiS3TLG1tKPH,AFLOW,Bi3Co,225.0,Fm-3m,,,False
Bi-Co,0tlqisA0Qd33StO1CG6mLNznepO7,AFLOW,Bi2Co2,129.0,P4/nmm,B11,CuTi,False
Bi-Co,0vROhmthIyqnmcLZteE3hSNRjhYw,AFLOW,BiCo3,12.0,C2/m,,,False
Bi-Co,0viNZVoSVk3rO8Yg9jZae4Nb8v6F,OQMD,Bi2Co2,51.0,Pmma,B19,AuCd,False
Bi-Co,141WrqmJzUYbKTESAF4A3SYGA-ko,AFLOW,Bi3Co2,164.0,P-3m1,D513,Al3Ni2,False
Bi-Co,18ttM2VVbXvEiBs77i1B7ykZ2J4c,AFLOW,Bi2Co2,129.0,P4/nmm,B10,OPb,False
Bi-Co,1GekZyt0303Y63SODg9nVfF-OICw,AFLOW,Bi5Co,216.0,F-43m,,,False
Bi-Co,1InA2-ueUBuUP5dkPt4rLmtevRKH,AFLOW,Bi4Co2,191.0,P6/mmm,C32,AlB2,False
Bi-Co,1M3_7AUmgL2I0zM48CtsRvUTbBxW,AFLOW,BiCo5,123.0,P4/mmm,,,False
Bi-Co,1UOMuufzzn81HVv-QKspGzB3nk9T,AFLOW,Bi3Co,139.0,I4/mmm,,,False
Bi-Co,1W-fNRRpc3l6ad4uxjEIb8FTyRzB,AFLOW,Bi2Co2,63.0,Cmcm,B33,BCr,False
Bi-Co,1Wp_h7aH6uCjPO4vDHRpd-EX2jim,AFLOW,Bi2Co4,63.0,Cmcm,C49,Si2Zr,False
Bi-Co,1dCyU0QGZpd7h-uVZ4Vq53CExBDJ,AFLOW,Bi2Co,164.0,P-3m1,C6,CdI2,False
Bi-Co,1ki_rMWAP8LahGNccSWq6_D0V11g,AFLOW,Bi4Co8,194.0,P6_3/mmc,C14,MgZn2,False
Bi-Co,25t3Y3ej0KS5zMwdsv9jidEnKpbV,AFLOW,Bi2Co4,141.0,I4_1/amd,C5,O2Ti,False
Bi-Co,2QcaHrARFG5RCg00-AFBaKNqvu7b,Miguel Marques,Bi2Co,205.0,Pa-3,C2,FeS2,True
Bi-Co,2W5TavwTuKa-Q1qxX5HYLi71c-7z,AFLOW,Bi2Co2,59.0,Pmmn,,CuTe,False
Bi-Co,2WpPar6mmbqMXE1HT0ry1AYj8aA6,AFLOW,Bi3Co,187.0,P-6m2,,,False
Bi-Co,2lWh-U4UZPtldGqo8fa5I4axiuzq,AFLOW,BiCo2,139.0,I4/mmm,C11b,MoSi2,False
Bi-Co,2qdPcLpSJXSyuPf8oVZvksGLuPeQ,AFLOW,Bi3Co5,65.0,Cmmm,,,False
Bi-Co,3-0AnJJJ7WMVsMtV29ru1qPo1xvR,AFLOW,BiCo5,189.0,P-62m,,,False
Bi-Co,3-ECKk4KmvJC3A9PWt0SGlA6Sc2c,AFLOW,Bi4Co2,63.0,Cmcm,C49,Si2Zr,False
Bi-Co,33fCMryM5dcX74RE3HY5JjnS0Nau,OQMD,BiCo3,225.0,Fm-3m,D03,BiF3,False
Bi-Co,33vzPbbapa2IyRI4gMeJzDbW4ZGf,Miguel Marques,BiCo,194.0,P6_3/mmc,Bk,BN,True
Bi-Co,37gi8H1yKYwlsGJyaFHqiaPAdu-x,AFLOW,Bi5Co,216.0,F-43m,,,False
Bi-Co,37sUJ0f4xEDk85A23AnjWsZLMP7g,AFLOW,Bi4Co2,194.0,P6_3/mmc,,,False
Bi-Co,38e1kERIXXzGRP2LAHoPPT3hETPH,AFLOW,Bi3Co9,166.0,R-3m,,,False
Bi-Co,3Dqu7fGyJ77gWuDFQzjkn5J75dQq,AFLOW,BiCo,187.0,P-6m2,,,False
Bi-Co,3Qz-y--vmFVCYejkXMvwZ1EHaxNp,AFLOW,Bi6Co6,166.0,R-3m,,,False
Bi-Co,3cdyB_PxNc2bbzMxSxFHNQaSEhyl,AFLOW,Bi2Co,139.0,I4/mmm,C11b,MoSi2,False
Bi-Co,3dGMrulhngXyEC6ZClEgCegsWa7u,AFLOW,BiCo,225.0,Fm-3m,B1,ClNa,False
Bi-Co,3luIbLMGYLpVW0Fnj3_3sPjvifqS,AFLOW,Bi2Co,225.0,Fm-3m,C1,CaF2,False
Bi-Co,3pp9fI33zbcfB0kSXuUG8pmXhdGn,AFLOW,Bi3Co,10.0,P2/m,,,False
Bi-Co,41GLDOfYs2SYqIzTuuFteT4k3AVK,AFLOW,Bi4Co2,63.0,Cmcm,C49,Si2Zr,False
Bi-Co,45z3z4SjUTmsbznBZvUEO4Dq4Xry,OQMD,BiCo,216.0,F-43m,,,False
Bi-Co,4QkxQTX7cuW5X3-Q2dTDdXv7Rkki,OQMD,BiCo3,225.0,Fm-3m,D03,BiF3,False
Bi-Co,4TIchjCbdkvJxx0gvMSxy_sgQzxs,Miguel Marques,BiCo,225.0,Fm-3m,B1,ClNa,True
Bi-Co,4Y_D91IsfQOVY5sU8YVrbWM-PqMq,AFLOW,Bi2Co6,59.0,Pmmn,,,False
Bi-Co,4ZQqQOoknF53j9_azxFlx14yS9AK,AFLOW,Bi6Co2,59.0,Pmmn,D0a,Cu3Ti,False
Bi-Co,4fgU9JvxrRstebQprv6hGzvn3BOQ,OQMD,BiCo,221.0,Pm-3m,B2,ClCs,False
Bi-Co,4huo6klXCpmkIdGuQHSViFbkJYjU,AFLOW,Bi2Co2,74.0,Imma,,,False
Bi-Co,4r6MCI1sc98xEqRthlQRHTfOd32C,OQMD,BiCo,187.0,P-6m2,,,False
