name,n_Co,n_Bi,n_atoms,E_eV_per_atom,E_form_eV_per_atom,converged,steps
02_CoBi6_sg164_Co3_Bi18_m1_n6_z3_sg164_t,3,18,21,-4.215073847767878,0.0759798148757694,True,299
01_CoBi6_sg166_Co3_Bi18_m1_n6_z3_sg166_t,3,18,21,-4.2103806956314775,0.08067296701217076,True,354
10_CoBi3_sg62_Co4_Bi12_m1_n3_z4_sg062_tr,4,12,16,-4.557490247762209,0.08273583976578891,True,89
12_CoBi3_sg55_Co4_Bi12_m1_n3_z4_sg055_tr,4,12,16,-4.557315062807474,0.08291102472052359,True,99
17_CoBi7_sg163_Co2_Bi14_m1_n7_z2_sg163_t,2,14,16,-4.145066918524261,0.08779133997199651,True,134
05_CoBi2_sg41_Co4_Bi8_m1_n2_z4_sg041_tri,4,8,12,-4.805932947293473,0.1058716929223511,True,157
15_CoBi4_sg154_Co3_Bi12_m1_n4_z3_sg154_t,3,12,15,-4.360764469897547,0.1165144860177539,True,93
18_CoBi7_sg156_Co2_Bi14_m1_n7_z2_sg156_t,2,14,16,-4.112350250477685,0.12050800801857253,False,500
13_CoBi4_sg166_Co3_Bi12_m1_n4_z3_sg166_t,3,12,15,-4.332712637777809,0.1445663181374916,True,59
08_Co2Bi5_sg59_Co4_Bi10_m2_n5_z2_sg059_t,4,10,14,-4.544705671762318,0.21191122406046148,True,115
20_Co3Bi5_sg47_Co6_Bi10_m3_n5_z2_sg047_t,6,10,16,-4.817149933012626,0.2304439835471115,True,427
07_Co2Bi5_sg50_Co4_Bi10_m2_n5_z2_sg050_t,4,10,14,-4.515380162272377,0.24123673355040257,True,115
14_CoBi4_sg151_Co3_Bi12_m1_n4_z3_sg151_t,3,12,15,-4.220252159149197,0.25702679676610385,True,138
03_CoBi2_sg48_Co4_Bi8_m1_n2_z4_sg048_tri,4,8,12,-4.634767081038217,0.2770375591776073,True,78
11_CoBi3_sg60_Co4_Bi12_m1_n3_z4_sg060_tr,4,12,16,-4.346764395728954,0.2934616917990436,True,116
06_Co2Bi5_sg55_Co4_Bi10_m2_n5_z2_sg055_t,4,10,14,-4.457495002041307,0.29912189378147197,True,111
09_CoBi6_sg150_Co3_Bi18_m1_n6_z3_sg150_t,3,18,21,-3.9905985027169555,0.3004551599266928,True,117
16_CoBi7_sg162_Co2_Bi14_m1_n7_z2_sg162_t,2,14,16,-3.8929738128523987,0.3398844456438588,True,101
04_CoBi2_sg46_Co4_Bi8_m1_n2_z4_sg046_tri,4,8,12,-4.446415632283977,0.46538900793184723,True,89
19_Co3Bi5_sg48_Co6_Bi10_m3_n5_z2_sg048_t,6,10,16,-4.341983428303294,0.7056104882564433,True,96
